2019-11-17T00:40:45.000Z,b'#crypto mkt cap last hour\n\n\xf0\x9f\x9a\x80\n$BTC +166.082m\n$XRP +45.001m\n$BSV +10.512m\n\n\xf0\x9f\x8c\xa7\xef\xb8\x8f\n$XEM -3.734m\n$BAT -2.474m\n$NEO -2.302m\n\n#bitcoin #cryptocurrency',crypto mkt cap last hour n n xf0 x9f x9a x80 n BTC 166 082m n XRP 45 001m n BSV 10 512m n n xf0 x9f x8c xa7 xef x8 x8f n XEM 3 734m n BAT 2 474m n NEO 2 302m n n itcoin cryptocurrency
2019-11-17T00:41:23.000Z,b'#Forexsignals #24option #Bitcoin #BitcoinInvestor #fxtrader #Forex #cryptosignals #cryptomoney #livingbig\xe2\x80\xa6 https://t.co/oCNPgU8crQ',Forexsignals 24option Bitcoin BitcoinInvestor fxtrader Forex cryptosignals cryptomoney livingig xe2 x80 xa6
2019-11-17T00:41:50.000Z,"\"b\"\"$BTC #BTC #Bitcoin #BTC_USD\\n\\nI'm scared.... https://t.co/iJldOSBr66\"\"\"",BTC BTC Bitcoin BTC USD n nI m scared
2019-11-17T00:42:09.000Z,b'Hey @PeterMcCormack would you unlock my @dropbitapp wallet next time you\xe2\x80\x99re sending out sats? \nPay me in #Bitcoin u\xe2\x80\xa6 https://t.co/Q1DphL583v',Hey would you unlock my wallet next time you xe2 x80 x99re sending out sats nPay me in Bitcoin u xe2 x80 xa6
2019-11-17T00:42:13.000Z,"b'#Bitcoin Binance 4h BTCUSDT:8499.07 RSI(37.27) StochRSI(57.73,48.87) macd(-70.63,-79.13) sma21:8576.97 sma50:8709.1\\xe2\\x80\\xa6 https://t.co/3QcYv1Z62f'",Bitcoin Binance 4h BTCUSDT 8499 07 RSI 37 27 StochRSI 57 73 48 87 macd 70 63 79 13 sma21 8576 97 sma50 8709 1 xe2 x80 xa6
2019-11-17T00:42:19.000Z,"b'The only way for #Bitcoin tu suceed, is being able to use it as a currency and not only as a store of value.\\n\\n#LightningNetwork'",The only way for Bitcoin tu suceed is eing ale to use it as a currency and not only as a store of value n n LightningNetwork
2019-11-17T00:42:33.000Z,b'#16Nov 19:42\nPrecio del #Bitcoin: 8558.13 USD\n#BTC $BTC https://t.co/VcR7VAfkdE',16Nov 19 42 nPrecio del Bitcoin 8558 13 USD n BTC BTC
2019-11-17T00:43:07.000Z,b'@extstock @dcs_token Super Project\n\n#cryptocurrency  #bitcoin',Super Project n n cryptocurrency itcoin
2019-11-17T00:43:32.000Z,b'Just received my ~50$ #keybase #stellar #xlm #airdrop. \nNice app with a lot of potential in the future \xf0\x9f\x92\xaa\xf0\x9f\x98\x8a. \nThank y\xe2\x80\xa6 https://t.co/TFFw1KVwlI',Just received my 50 keyase stellar xlm airdrop nNice app with a lot of potential in the future xf0 x9f x92 xaa xf0 x9f x98 x8a nThank y xe2 x80 xa6
2019-11-17T00:43:37.000Z,"\"b\"\"Best #altcoins for 2020?\\nI think there are 7or8 worth your time and research.\\nI'll do two surveys(this is the 2nd o\\xe2\\x80\\xa6 https://t.co/YhrBfv5PGK\"\"\"",Best altcoins for 2020 nI think there are 7or8 worth your time and research nI ll do two surveys this is the 2nd o xe2 x80 xa6
2019-11-17T00:44:08.000Z,b'#Bitcoin SV Price Hits $123.79 (BSV)\n\nhttps://t.co/ZH8pW5ivMP',Bitcoin SV Price Hits 123 79 BSV n
2019-11-17T00:44:27.000Z,b'\xf0\x9f\x94\x84 Prices update in $USD (1 hour):\n\n$BTC   - 8497.3 $    (+0.15 %)\n$ETH   - 182.64 $    (+0.19 %)\n$XRP   - 0.26 $\xe2\x80\xa6 https://t.co/jP6lpdIOeG',xf0 x9f x94 x84 Prices update in USD 1 hour n n BTC 8497 3 0 15 n ETH 182 64 0 19 n XRP 0 26 xe2 x80 xa6
2019-11-17T00:44:28.000Z,b'\xf0\x9f\x94\x84 Prices update in $USDT (1 hour):\n\n$BTC - 8502.7 $        (+0.17 %)\n$ETH - 182.4 $         (0.0 %)\n$XRP - 0.26 $\xe2\x80\xa6 https://t.co/Q2dQ4ncAkx',xf0 x9f x94 x84 Prices update in USDT 1 hour n n BTC 8502 7 0 17 n ETH 182 4 0 0 n XRP 0 26 xe2 x80 xa6
