2019-11-17T01:05:38.000Z,b'@beinlibertarian #Bitcoin ?',Bitcoin
2019-11-17T01:05:42.000Z,"b'https://t.co/e29umerGfI\\n\\nThe power of dollar-cost averaging and taking advantage of high volatility, whilst being l\\xe2\\x80\\xa6 https://t.co/h86nDdBhGi'",power of dollar cost averaging and taking advantage of high volatility whilst eing l xe2 x80 xa6
2019-11-17T01:05:56.000Z,b'Just like you were to busy to invest in #bitcoin and #Ethereum https://t.co/nxGazGoGSr',Just like you were to usy to invest in itcoin and Ethereum
2019-11-17T01:06:00.000Z,b'Intertops Casino - 50 Free Spins Sign Up Bonus and New $777 Weekend Bonus with 77 Free Spins\xe2\x80\xa6 https://t.co/ySqPbrqL4J',Intertops Casino 50 Free Spins Sign Up Bonus and New 777 Weekend Bonus with 77 Free Spins xe2 x80 xa6
2019-11-17T01:06:11.000Z,b'$DIRV DirectView First look at new Office https://t.co/sk7S33o2kG\n#bodycamera #Camera #security #Surveillance #ad\xe2\x80\xa6 https://t.co/QanEyONokh',DIRV DirectView First look at new Office Camera security Surveillance ad xe2 x80 xa6
2019-11-17T01:06:16.000Z,b'Yikes! #bitcoin #BTC https://t.co/PX7Mb5W7Uh',Yikes itcoin BTC
2019-11-17T01:06:21.000Z,"b'pwinfrey18, thanks for following us! Check out our site here: https://t.co/C6jLsPUFaw \\n\\n#bitcoin #investing\\n$btc'",pwinfrey18 thanks for following us Check out our site here n n itcoin investing n tc
2019-11-17T01:06:28.000Z,b'Blockchain: Project Renaissance Volume 1 is being translated into Bosnian! \xf0\x9f\x8c\x8e\xe2\x9a\xa1\xef\xb8\x8f\xf0\x9f\xa7\xa8\xf0\x9f\x92\xaa\xf0\x9f\x92\x9a @UFFcrypto #Bitcoin https://t.co/SO3bIykgZE',Blockchain Project Renaissance Volume 1 is eing translated into Bosnian xf0 x9f x8c x8e xe2 x9a xa1 xef x8 x8f xf0 x9f xa7 xa8 xf0 x9f x92 xaa xf0 x9f x92 x9a Bitcoin
2019-11-17T01:06:34.000Z,b'Bitcoin Cash Community Funds Eatbch Trip to Ghana https://t.co/hw8Zc2Omqw \n\n#bitcoin #bitcoinnews #ethereum #ripple\xe2\x80\xa6 https://t.co/OnqlbZwnOq',Bitcoin Cash Community Funds Eatch Trip to Ghana n n itcoin itcoinnews ethereum ripple xe2 x80 xa6
2019-11-17T01:06:58.000Z,b'#Ethereum 2.0 release with the new #ProgPOW might be bigger than #Bitcoin itself from back in 2009... Taking a posi\xe2\x80\xa6 https://t.co/02mb9P5nOS',Ethereum 2 0 release with the new ProgPOW might e igger than Bitcoin itself from ack in 2009 Taking a posi xe2 x80 xa6
2019-11-17T01:07:00.000Z,"b'#bitacademyweb\\nLa billetera Electrum, rapidez y movilidad \\nhttps://t.co/Qs2iiJaGrY\\n#carteradigital  #claveprivada\\xe2\\x80\\xa6 https://t.co/DyxjVs0eaI'",itacademywe nLa illetera Electrum rapidez y movilidad nhttps claveprivada xe2 x80 xa6
