2019-11-17T01:14:21.000Z,b'@BinanceAmerica @binance #Bitcoin',Bitcoin
2019-11-17T01:15:00.000Z,"b'Stablecoin Crisis Could Wreck Global Finance, Fed Warns in New Report #federalreserveboardofgovernors #fiatmoney\\xe2\\x80\\xa6 https://t.co/G18TmYbk91'",Stalecoin Crisis Could Wreck Gloal Finance Fed Warns in New Report federalreserveoardofgovernors fiatmoney xe2 x80 xa6
2019-11-17T01:15:18.000Z,b'#Bitcoin Traders Are Finding Creative Ways to Avoid KYC https://t.co/P3vqSaOqea via @BTCTN #cryptocurrency https://t.co/8nytwDj4Y0',Bitcoin Traders Are Finding Creative Ways to Avoid KYC via cryptocurrency
2019-11-17T01:15:28.000Z,b'The latest Crypto Trading Newsletter! https://t.co/BXYN2F0AsD Thanks to @LandscapeVC @thewoodheadbob\xe2\x80\xa6 https://t.co/Hf0DXw5OUu',The latest Crypto Trading Newsletter Thanks to xe2 x80 xa6
2019-11-17T01:16:25.000Z,"b\"\"\\xf0x9fx91x8cxf0x9fx98x8d It's My Birthday Nap Classic Black T-Shirt xf0x9fx98x8dxf0x9fx91x8cnTake 25% OFF with code WHALE25nhttps://t.co/ahoTNXtQQ6  xf0x9fx91x88n#Bitcoinxe2x80xa6 https://t.co/3YuX0TxqjJ\"\"",xf0x9fx91x8cxf0x9fx98x8d It s My Birthday Nap Classic Black T Shirt xf0x9fx98x8dxf0x9fx91x8cnTake 25 OFF with code WHALE25nhttps xf0x9fx91x88n Bitcoinxe2x80xa6
2019-11-17T01:16:26.000Z,b'BTC $8562.99 Up +$13.52 +0.16% in the last hour #bitcoin #bitsmart',BTC 8562 99 Up 13 52 0 16 in the last hour itcoin itsmart
2019-11-17T01:16:37.000Z,"\"b\"\"Out of all the projects out there",Out of all the projects out there
2019-11-17T01:16:47.000Z,b'IRS Criminal Investigator Eyes #Bitcoin and #Crypto Users and Operators https://t.co/ZAJhGbI9qP #BTC $BTC https://t.co/iAFYHGacGT',IRS Criminal Investigator Eyes Bitcoin and Crypto Users and Operators BTC BTC
2019-11-17T01:16:49.000Z,b'@KevinSvenson_ So many CrazySh*t happening around the world.. #Bitcoin is going to have a major pump soon (cross my fingers)!',So many CrazySh t happening around the world Bitcoin is going to have a major pump soon cross my fingers
2019-11-17T01:17:06.000Z,b'Bitcoin Cash BCH Current Price:\n$268.54\n1 Hour: 0.33 % | 24 Hours: 1.24 % | 7 Days: -5.16 %\n#bch #bitcoin cash',Bitcoin Cash BCH Current Price n 268 54 n1 Hour 0 33 24 Hours 1 24 7 Days 5 16 n ch itcoin cash
2019-11-17T01:17:20.000Z,b'Stream Galaxy by E.G.A.N on @SpotifyUK\n\n https://t.co/10fTBaJHy7\n\n#ff #followfriday #followback #giveaway #contest\xe2\x80\xa6 https://t.co/nyaDkeZ5Sw',Stream Galaxy y E G A N on n n followfriday followack giveaway contest xe2 x80 xa6
