2019-11-17T01:22:47.000Z,b'Pump and dump alert: #Seele +19% volume/24h. #bitcoin #trader #btc More: https://t.co/zRiLNuhwvj',Pump and dump alert Seele 19 volume 24h itcoin trader tc More
2019-11-17T01:24:38.000Z,"b'(1) For #Bitcoin #traders wondering if seasonality can be used to time purchases or sales, the #CoinGenius research\\xe2\\x80\\xa6 https://t.co/6iB79RE8WH'",1 For Bitcoin traders wondering if seasonality can e used to time purchases or sales the CoinGenius research xe2 x80 xa6
2019-11-17T01:24:49.000Z,b'Learn a bit out the @0xProject and dont miss out on your chance to win some #ZRX\n#CryptoNews #cryptocurrency\xe2\x80\xa6 https://t.co/gTXMMsXdAd',Learn a it out the and dont miss out on your chance to win some ZRX n CryptoNews cryptocurrency xe2 x80 xa6
2019-11-17T01:24:58.000Z,"b'BTC\\xe6\\x88\\xa6\\xe9\\x97\\x98\\xe5\\x8a\\x9b\\xe2\\x86\\x93:\\xc2\\xa5924,295(max #LSK/mini #XEM)\\n\\xe3\\x82\\x84\\xe3\\x81\\xaf\\xe3\\x82\\x8a\\xe4\\xb8\\x8b\\xe3\\x82\\x8a\\xe3\\x81\\xbe\\xe3\\x81\\x97\\xe3\\x81\\x9f\\xe3\\x81\\xad\\r\\xe3\\x80\\x81\\xe8\\xab\\xa6\\xe3\\x82\\x81\\xe3\\x81\\xa6\\xe3\\x82\\xa2\\xe3\\x83\\x95\\xe3\\x82\\xa3\\xe3\\x83\\xaa\\xe3\\x82\\xa8\\xe3\\x82\\xa4\\xe3\\x83\\x88\\xe3\\x81\\x97\\xe3\\x81\\xaa\\xe3\\x81\\x95\\xe3\\x81\\x84\\n\\n#\\xe3\\x83\\x95\\xe3\\x83\\xaa\\xe3\\x83\\xbc\\xe3\\x82\\xb6 #\\xe7\\x9b\\xb8\\xe5\\xa0\\xb4 #\\xe8\\xa8\\xbc\\xe5\\x88\\xb8 #BITCOIN #\\xe3\\x83\\x95\\xe3\\x83\\xaa\\xe3\\x83\\xbc\\xe3\\x82\\xb6\\xe3\\x83\\x81\\xe3\\x83\\xa3\\xe3\\x83\\xbc\\xe3\\x83\\x88 https://t.co/uaI1M5ieQ4'",BTC xe6 x88 xa6 xe9 x97 x98 xe5 x8a x9 xe2 x86 x93 xc2 xa5924 295 max LSK mini XEM n xe3 x82 x84 xe3 x81 xaf xe3 x82 x8a xe4 x8 x8 xe3 x82 x8a xe3 x81 xe xe3 x81 x97 xe3 x81 x9f xe3 x81 xad r xe3 x80 x81 xe8 xa xa6 xe3 x82 x81 xe3 x81 xa6 xe3 x82 xa2 xe3 x83 x95 xe3 x82 xa3 xe3 x83 xaa xe3 x82 xa8 xe3 x82 xa4 xe3 x83 x88 xe3 x81 x97 xe3 x81 xaa xe3 x81 x95 xe3 x81 x84 n n xe3 x83 x95 xe3 x83 xaa xe3 x83 xc xe3 x82 x6 xe7 x9 x8 xe5 xa0 x4 xe8 xa8 xc xe5 x88 x8 BITCOIN xe3 x83 x95 xe3 x83 xaa xe3 x83 xc xe3 x82 x6 xe3 x83 x81 xe3 x83 xa3 xe3 x83 xc xe3 x83 x88
2019-11-17T01:25:23.000Z,b'Watch videos to earn bitcoin  \n\nVisit Now: https://t.co/XUJfhkZ3bB\n\n #Successful #Watch #Videos #Earn #Bitcoin',Watch videos to earn itcoin n nVisit Now Successful Watch Videos Earn Bitcoin
2019-11-17T01:25:32.000Z,b'Imagine what bitcoin could do next if this move turn out to be bullish. I know its not easy but i am taking risk wi\xe2\x80\xa6 https://t.co/Sasx599X5t',Imagine what itcoin could do next if this move turn out to e ullish I know its not easy ut i am taking risk wi xe2 x80 xa6
2019-11-17T01:27:59.000Z,b'@extstock @dcs_token excellent\n#cryptocurrency #bitcoin',excellent n cryptocurrency itcoin
2019-11-17T01:28:12.000Z,b'@RobertBeadles @officialmcafee Great Interview\n\nbitcoincash:qp0wz953z5fvuz553du5f848garant6pzsd3f77lll\n\n#Bitcoin\xe2\x80\xa6 https://t.co/6yKi081MOy',Great Interview n nitcoincash qp0wz953z5fvuz553du5f848garant6pzsd3f77lll n n Bitcoin xe2 x80 xa6
2019-11-17T01:29:01.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin \nGood project',cryptocurrency itcoin nGood project
2019-11-17T01:29:18.000Z,b'Question for #cryptotwitter\n\nWould you take $btc #crypto investment advice from someone who didn\xe2\x80\x99t own any #bitcoin\xe2\x80\xa6 https://t.co/sWJiIcPfqz',Question for cryptotwitter n nWould you take tc crypto investment advice from someone who didn xe2 x80 x99t own any itcoin xe2 x80 xa6
2019-11-17T01:29:18.000Z,"b'\\xe7\\x9f\\xad\\xe3\\x81\\x84\\xe8\\xb6\\xb3(ex.M5...)\\xe3\\x81\\xae\\xe3\\x83\\x88\\xe3\\x83\\xac\\xe3\\x83\\xb3\\xe3\\x83\\x89\\xe3\\x81\\xae\\xe5\\x84\\xaa\\xe4\\xbd\\x8d\\xe6\\x80\\xa7\\xe3\\x81\\x8c\\xe5\\xa4\\xb1\\xe3\\x82\\x8f\\xe3\\x82\\x8c\\xe3\\x82\\x8b\\xe3\\x81\\xae\\xe3\\x81\\xaf\\xe3\\x81\\xa9\\xe3\\x81\\x93\\xe3\\x81\\xaa\\xe3\\x81\\xae\\xe3\\x81\\x8b\\xe3\\x80\\x82\\xe6\\x90\\x8d\\xe5\\x88\\x87\\xe3\\x82\\x8a\\xe3\\x82\\x92\\xe7\\x9f\\xad\\xe3\\x81\\x84\\xe8\\xb6\\xb3\\xe3\\x81\\xae\\xe3\\x83\\x88\\xe3\\x83\\xac\\xe3\\x83\\xb3\\xe3\\x83\\x89\\xe3\\x81\\x8c\\xe5\\x84\\xaa\\xe4\\xbd\\x8d\\xe6\\x80\\xa7\\xe3\\x82\\x92\\xe5\\xa4\\xb1\\xe3\\x81\\x86\\xe6\\x98\\x8e\\xe7\\xa2\\xba\\xe3\\x81\\xaa\\xe6\\x8a\\x9c\\xe3\\x81\\x91\\xe3\\x81\\xbe\\xe3\\x81\\xa7\\xe5\\xbe\\x85\\xe3\\x81\\xa6\\xe3\\x82\\x8b\\xe3\\x81\\x8b\\xef\\xbc\\x9f\\xe5\\xbe\\x85\\xe3\\x81\\xa6\\xe3\\x81\\xaa\\xe3\\x81\\x84\\xe3\\x81\\xaa\\xe3\\x82\\x89\\xe3\\x83\\xac\\xe3\\x83\\x90\\xe3\\x83\\xac\\xe3\\x83\\x83\\xe3\\x82\\xb8\\xe3\\x81\\x8c\\xe9\\xab\\x98\\xe9\\x81\\x8e\\xe3\\x81\\x8e\\xe3\\x82\\x8b\\xe3\\x80\\x81\\xe3\\x81\\x82\\xe3\\x82\\x8b\\xe3\\x81\\x84\\xe3\\x81\\xaf\\xe7\\x84\\xa1\\xe9\\xa7\\x84\\xe3\\x81\\xaa\\xe3\\x82\\xa8\\xe3\\x83\\xb3\\xe3\\x83\\x88\\xe3\\x83\\xaa\\xe3\\x83\\xbc\\xe3\\x81\\xa7\\xe9\\x96\\x93\\xe9\\x81\\x95\\xe3\\x81\\x84\\xe3\\x81\\xaa\\xe3\\x81\\x84\\xe3\\x80\\x82 #fx,#bitcoin'",xe7 x9f xad xe3 x81 x84 xe8 x6 x3 ex M5 xe3 x81 xae xe3 x83 x88 xe3 x83 xac xe3 x83 x3 xe3 x83 x89 xe3 x81 xae xe5 x84 xaa xe4 xd x8d xe6 x80 xa7 xe3 x81 x8c xe5 xa4 x1 xe3 x82 x8f xe3 x82 x8c xe3 x82 x8 xe3 x81 xae xe3 x81 xaf xe3 x81 xa9 xe3 x81 x93 xe3 x81 xaa xe3 x81 xae xe3 x81 x8 xe3 x80 x82 xe6 x90 x8d xe5 x88 x87 xe3 x82 x8a xe3 x82 x92 xe7 x9f xad xe3 x81 x84 xe8 x6 x3 xe3 x81 xae xe3 x83 x88 xe3 x83 xac xe3 x83 x3 xe3 x83 x89 xe3 x81 x8c xe5 x84 xaa xe4 xd x8d xe6 x80 xa7 xe3 x82 x92 xe5 xa4 x1 xe3 x81 x86 xe6 x98 x8e xe7 xa2 xa xe3 x81 xaa xe6 x8a x9c xe3 x81 x91 xe3 x81 xe xe3 x81 xa7 xe5 xe x85 xe3 x81 xa6 xe3 x82 x8 xe3 x81 x8 xef xc x9f xe5 xe x85 xe3 x81 xa6 xe3 x81 xaa xe3 x81 x84 xe3 x81 xaa xe3 x82 x89 xe3 x83 xac xe3 x83 x90 xe3 x83 xac xe3 x83 x83 xe3 x82 x8 xe3 x81 x8c xe9 xa x98 xe9 x81 x8e xe3 x81 x8e xe3 x82 x8 xe3 x80 x81 xe3 x81 x82 xe3 x82 x8 xe3 x81 x84 xe3 x81 xaf xe7 x84 xa1 xe9 xa7 x84 xe3 x81 xaa xe3 x82 xa8 xe3 x83 x3 xe3 x83 x88 xe3 x83 xaa xe3 x83 xc xe3 x81 xa7 xe9 x96 x93 xe9 x81 x95 xe3 x81 x84 xe3 x81 xaa xe3 x81 x84 xe3 x80 x82 fx itcoin
