2019-11-17T02:00:03.000Z,"b'\\xe2\\x8f\\xb0 05:00\\n\\xe2\\x82\\xbf Bitcoin = 8.474,5763 $\\n#bitcoin #btc #BTCUSD'",xe2 x8f x0 05 00 n xe2 x82 xf Bitcoin 8 474 5763 n itcoin tc BTCUSD
2019-11-17T02:00:03.000Z,b'MercadoBitcoin(BTC) =&gt; R$36300 | BlockChain(BTC) =&gt; R$35591 | MercadoBitcoin(LTC) =&gt; R$249 #bitcoin #litecoin',MercadoBitcoin BTC gt R 36300 BlockChain BTC gt R 35591 MercadoBitcoin LTC gt R 249 itcoin litecoin
2019-11-17T02:00:04.000Z,b'2019/11/17 11:00\n\nBTC 923329.5\xe5\x86\x86\nETH 19863.3\xe5\x86\x86\nETC 505.1\xe5\x86\x86\nBCH 28896.5\xe5\x86\x86\nXRP 28.5\xe5\x86\x86\nXEM 4.6\xe5\x86\x86\nLSK 86.3\xe5\x86\x86\nMONA 114.6\xe5\x86\x86\xe2\x80\xa6 https://t.co/JdcjVpP6kO',2019 11 17 11 00 n nBTC 923329 5 xe5 x86 x86 nETH 19863 3 xe5 x86 x86 nETC 505 1 xe5 x86 x86 nBCH 28896 5 xe5 x86 x86 nXRP 28 5 xe5 x86 x86 nXEM 4 6 xe5 x86 x86 nLSK 86 3 xe5 x86 x86 nMONA 114 6 xe5 x86 x86 xe2 x80 xa6
2019-11-17T02:00:04.000Z,b'BBC: New Files Allegedly Connect $450M in Lost Bitcoin to Russian Intelligence #bitcoin #cryptocurrency\xe2\x80\xa6 https://t.co/soZFEn6WsL',BBC New Files Allegedly Connect 450M in Lost Bitcoin to Russian Intelligence itcoin cryptocurrency xe2 x80 xa6
2019-11-17T02:00:04.000Z,b'One Bitcoin now worth $8492.717. Market Cap $153.307 Billion. Based on #coindesk BPI #bitcoin',One Bitcoin now worth 8492 717 Market Cap 153 307 Billion Based on coindesk BPI itcoin
2019-11-17T02:00:05.000Z,b'I always welcome talk about \xef\xbc\x83Bitcoin and \xef\xbc\x83Blockchain \xf0\x9f\x98\x84\n#\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8 #ICO #\xe6\x9a\x97\xe5\x8f\xb7\xe9\x80\x9a\xe8\xb2\xa8 #\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3 #\xe3\x82\xa2\xe3\x83\xab\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3 #MLM https://t.co/eczkHigO26',I always welcome talk aout xef xc x83Bitcoin and xef xc x83Blockchain xf0 x9f x98 x84 n xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 ICO xe6 x9a x97 xe5 x8f x7 xe9 x80 x9a xe8 x2 xa8 xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 xe3 x82 xa2 xe3 x83 xa xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 MLM
2019-11-17T02:00:05.000Z,b'Seattle Thunderbirds vs Portland Winterhawks. #bitcoin #betting - https://t.co/uNQbPP3ysl',Seattle Thunderirds vs Portland Winterhawks itcoin etting
2019-11-17T02:00:07.000Z,"\"b\"\"Where We've Been and Where We're Going\\nToday's conversation is an absolute must-see for any #Bitcoin trader",Where We ve Been and Where We re Going nToday s conversation is an asolute must see for any Bitcoin trader
2019-11-17T02:00:07.000Z,b'TOP-12 most-mentioned #crypto this hour:\n1. #bitcoin\n2. #tron\n3. #ethereum\n4. #xrp\n5. #ardor\n6. #bitcoincash\n7.\xe2\x80\xa6 https://t.co/tV0nXEd0ou',TOP 12 most mentioned crypto this hour n1 itcoin n2 tron n3 ethereum n4 xrp n5 ardor n6 itcoincash n7 xe2 x80 xa6
2019-11-17T02:00:08.000Z,b'At #MineABlock your miners will be at the best mining facility with a fully staffed engineering team on site! \n\nJoi\xe2\x80\xa6 https://t.co/skMdzijaxK',At MineABlock your miners will e at the est mining facility with a fully staffed engineering team on site n nJoi xe2 x80 xa6
2019-11-17T02:00:09.000Z,"b'#BTC: \\xe2\\x82\\xba48.794,00\\n#ETH: \\xe2\\x82\\xba1.048,35\\n#LTC:  \\xe2\\x82\\xba335,44\\n#XRP: \\xe2\\x82\\xba1,51\\n\\n17.11.19 - 05:00\\n\\n#Bitcoin #Litecoin #Ethereum #Ripple\\xe2\\x80\\xa6 https://t.co/jHHIidF2U8'",BTC xe2 x82 xa48 794 00 n ETH xe2 x82 xa1 048 35 n LTC xe2 x82 xa335 44 n XRP xe2 x82 xa1 51 n n17 11 19 05 00 n n Bitcoin Litecoin Ethereum Ripple xe2 x80 xa6
