2019-11-17T02:44:52.000Z,b'\xf0\x9f\x94\x84 Prices update in $EUR (1 hour):\n\n$BTC   - 7683.2 \xe2\x82\xac  (+0.17 %)\n$ETH   - 164.94 \xe2\x82\xac  (-0.01 %)\n$XRP   - 0.24 \xe2\x82\xac    (+0\xe2\x80\xa6 https://t.co/7ls5zEfGrN',xf0 x9f x94 x84 Prices update in EUR 1 hour n n BTC 7683 2 xe2 x82 xac 0 17 n ETH 164 94 xe2 x82 xac 0 01 n XRP 0 24 xe2 x82 xac 0 xe2 x80 xa6
2019-11-17T02:44:54.000Z,"\"b\"\"Happy Sunday y'all\\xf0\\x9f\\xa4\\x97 Are you happy with your current job?? You wanna learn how to trade and earn more profits in bin\\xe2\\x80\\xa6 https://t.co/CZd6kcGSmA\"\"\"",Happy Sunday y all xf0 x9f xa4 x97 Are you happy with your current jo You wanna learn how to trade and earn more profits in in xe2 x80 xa6
2019-11-17T02:45:01.000Z,b'Build your Political network organically Now. https://t.co/MsU3yfcA3O #ad #wsj #nytimes #reuters #bloomberg #forbes\xe2\x80\xa6 https://t.co/YPxKQZKrOf',Build your Political network organically Now ad wsj nytimes reuters loomerg fores xe2 x80 xa6
2019-11-17T02:45:01.000Z,b'The Crypto Companies Reinventing the Wallet - Bitcoin News #cryptocurrency #bitcoin #galaxydigital #coinbase\xe2\x80\xa6 https://t.co/zlSp7qowq4',The Crypto Companies Reinventing the Wallet Bitcoin News cryptocurrency itcoin galaxydigital coinase xe2 x80 xa6
2019-11-17T02:45:05.000Z,b'\xf0\x9f\x94\x84 Prices update in $USDT (1 hour):\n\n$BTC - 8486.02 $ (+0.04 %)\n$ETH - 182.16 $  (-0.08 %)\n$XRP - 0.26 $    (+0.36 %\xe2\x80\xa6 https://t.co/b8RYaxaDxd',xf0 x9f x94 x84 Prices update in USDT 1 hour n n BTC 8486 02 0 04 n ETH 182 16 0 08 n XRP 0 26 0 36 xe2 x80 xa6
2019-11-17T02:45:12.000Z,b'Fiat currency has been inflated so much in Venezuela it\xe2\x80\x99s not even worth the effort to pick it up\xe2\x80\xa6 ALL fiat currenc\xe2\x80\xa6 https://t.co/oZqHx1KbPP',Fiat currency has een inflated so much in Venezuela it xe2 x80 x99s not even worth the effort to pick it up xe2 x80 xa6 ALL fiat currenc xe2 x80 xa6
2019-11-17T02:45:28.000Z,"b'@CryptoLionel interested in your product.  I support original #bitcoin #BSV for my legacy, money was what I had before I wanted a legacy :-)'",interested in your product I support original itcoin BSV for my legacy money was what I had efore I wanted a legacy
2019-11-17T02:46:01.000Z,b'@extstock @dcs_token #cryptocurrency\xc2\xa0#bitcoin\xc2\xa0\nWow good exchange',cryptocurrency xc2 xa0 itcoin xc2 xa0 nWow good exchange
2019-11-17T02:46:01.000Z,b'@BitcoinCom @bitcoincashZA @bitcoincashZA Do you know that you can start earning between $500-$5000 weekly from bit\xe2\x80\xa6 https://t.co/aGETOvlZzi',Do you know that you can start earning etween 500 5000 weekly from it xe2 x80 xa6
2019-11-17T02:46:16.000Z,b'@BitcoinCashCity @bitcoincashZA @AlchemyGPS @bitcoincashZA Do you know that you can start earning between $500-$500\xe2\x80\xa6 https://t.co/jlodDlRbhF',Do you know that you can start earning etween 500 500 xe2 x80 xa6
2019-11-17T02:46:18.000Z,b'\xf0\x9f\x94\x84 Prices update in $USD (1 hour):\n\n$BTC - 8486.6 $  (+0.09 %)\n$ETH - 182.03 $  (-0.08 %)\n$XRP - 0.26 $    (+0.35 %)\xe2\x80\xa6 https://t.co/h7VuJFpcmm',xf0 x9f x94 x84 Prices update in USD 1 hour n n BTC 8486 6 0 09 n ETH 182 03 0 08 n XRP 0 26 0 35 xe2 x80 xa6
2019-11-17T02:46:54.000Z,b'#Blockchain Presidential Hopeful Andrew Yang Plans to Regulate Crypto Industry https://t.co/Bp7TEnqKh5 #Cryptocurrency #Bitcoin #Fintech',Blockchain Presidential Hopeful Andrew Yang Plans to Regulate Crypto Industry Cryptocurrency Bitcoin Fintech
2019-11-17T02:47:01.000Z,b'We now accept #acceptance #bitcoin #ethereum for payment #payment @CozumelMantaray https://t.co/VgHPSHsoyF',We now accept acceptance itcoin ethereum for payment payment
2019-11-17T02:47:39.000Z,b'Vivement l\xe2\x80\x99ouverture lundi matin pour voir dans quelle direction notre cher #Bitcoin va se diriger. Le suspens est \xc3\xa0 son comble \xf0\x9f\x91\x80',Vivement l xe2 x80 x99ouverture lundi matin pour voir dans quelle direction notre cher Bitcoin va se diriger Le suspens est xc3 xa0 son comle xf0 x9f x91 x80
2019-11-17T02:47:52.000Z,b'@AndrewYang Send some #bitcoin and people will.. https://t.co/d7MApQupEJ',Send some itcoin and people will
