2019-11-17T04:35:37.000Z,b'#bitcoinart #cyborg\n#bitcoin #cryptoart https://t.co/h6GRFJ2sFC',itcoinart cyorg n itcoin cryptoart
2019-11-17T04:35:56.000Z,b'#Bitcoin \xf0\x9f\x93\x88 \n\n\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91 43%\n\n price: $8464.18',Bitcoin xf0 x9f x93 x88 n n xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 43 n n price 8464 18
2019-11-17T04:35:58.000Z,b'GOLDEN\xf0\x9f\x8f\x85 MONEY \xf0\x9f\x92\xb2 TEAM \xf0\x9f\xa4\x9d PRESENTS\n\xf0\x9f\x8e\xb6SPOTIFY\xf0\x9f\x8e\xb6 \xf0\x9f\x9a\xa8ALERT\xf0\x9f\x9a\xa8\n@TrillWillIsrael Official #Spotify music source\n.\n.\xe2\x80\xa6 https://t.co/v251CKSkw0',GOLDEN xf0 x9f x8f x85 MONEY xf0 x9f x92 x2 TEAM xf0 x9f xa4 x9d PRESENTS n xf0 x9f x8e x6SPOTIFY xf0 x9f x8e x6 xf0 x9f x9a xa8ALERT xf0 x9f x9a xa8 n Official Spotify music source n n xe2 x80 xa6
2019-11-17T04:36:03.000Z,"b'\\xf0\\x9f\\x93\\xb0 Bitcoin Kurs auf 250.000 US-Dollar oder doch Einbruch auf 4.400$, 4 Gr\\xc3\\xbcnde warum Bitcoin in jedes Portfolio muss,\\xe2\\x80\\xa6 https://t.co/kmDoprEgIC'",xf0 x9f x93 x0 Bitcoin Kurs auf 250 000 US Dollar oder doch Einruch auf 4 400 4 Gr xc3 xcnde warum Bitcoin in jedes Portfolio muss xe2 x80 xa6
2019-11-17T04:36:21.000Z,b'Watch videos to earn bitcoin  \n\nSee More: https://t.co/XUJfhkZ3bB\n\n #MyBusiness #Watch #Videos #Earn #Bitcoin',Watch videos to earn itcoin n nSee More MyBusiness Watch Videos Earn Bitcoin
2019-11-17T04:36:52.000Z,b'I am proposing a 3-step plan to make ALL Americans millionaires:\n\n1. Elect @AndrewYang \n2. Buy #Bitcoin with your $12k \n3. #HODL till 2025',I am proposing a 3 step plan to make ALL Americans millionaires n n1 Elect n2 Buy Bitcoin with your 12k n3 HODL till 2025
2019-11-17T04:37:04.000Z,b'\xe3\x80\x90\xe3\x82\xa2\xe3\x83\xb3\xe3\x82\xb1\xe3\x83\xbc\xe3\x83\x88\xe3\x80\x91\nQ.\xe4\xbb\x8a\xe3\x81\xae\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3\xe3\x81\xae\xe7\x9b\xae\xe7\xb7\x9a\xe3\x81\xaf\xef\xbc\x81\xef\xbc\x9f\n\n#Bitcoin #BTC $BTC',xe3 x80 x90 xe3 x82 xa2 xe3 x83 x3 xe3 x82 x1 xe3 x83 xc xe3 x83 x88 xe3 x80 x91 nQ xe4 x x8a xe3 x81 xae xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 xe3 x81 xae xe7 x9 xae xe7 x7 x9a xe3 x81 xaf xef xc x81 xef xc x9f n n Bitcoin BTC BTC
2019-11-17T04:37:05.000Z,"b'Bitcoin Kurs auf 250.000 US-Dollar oder doch Einbruch auf 4.400$, 4 Gr\\xc3\\xbcnde warum Bitcoin in jedes Portfolio muss, M\\xe2\\x80\\xa6 https://t.co/UhN2VhUSBS'",Bitcoin Kurs auf 250 000 US Dollar oder doch Einruch auf 4 400 4 Gr xc3 xcnde warum Bitcoin in jedes Portfolio muss M xe2 x80 xa6
2019-11-17T04:37:17.000Z,b'I am not #SatoshiNakamoto but I want to #HODL  as much as I can in my #Pocket nothing other than #Bitcoin\n\n#CoinMantra #India',I am not SatoshiNakamoto ut I want to HODL as much as I can in my Pocket nothing other than Bitcoin n n CoinMantra India
2019-11-17T04:38:29.000Z,"b'@Fatalmeh you can run #bitcoin via satellite without the internet, with just $100 of equipment\\n\\nhttps://t.co/olHIscFxH8'",you can run itcoin via satellite without the internet with just 100 of equipment n
2019-11-17T04:38:57.000Z,b'#Special #HODL #Bitcoin https://t.co/JZlDZ85yZN',Special HODL Bitcoin
2019-11-17T04:39:10.000Z,b'#bitcoin Breakout Imminent for COINBASE:BTCUSD by RSibayan https://t.co/Aw3n56K9Pj https://t.co/FuneOMhlpo',itcoin Breakout Imminent for COINBASE BTCUSD y RSiayan
2019-11-17T04:39:15.000Z,"b'@fundstrat #bitcoin is inevitable. Too many forces driving it for it to be otherwise. Further #bitcoin is an idea,\\xe2\\x80\\xa6 https://t.co/xsMp8VIFvF'",itcoin is inevitale Too many forces driving it for it to e otherwise Further itcoin is an idea xe2 x80 xa6
2019-11-17T04:39:16.000Z,"b'1 Bitcoin ( #BTC )\\nDollar: 8468.75$ \\n\\n1 Bitcoin Cash ( #BCH )\\nDollar: 2,63.86$ \\n\\n1 Ethereum ( #ETH )\\nDollar: 180.99\\xe2\\x80\\xa6 https://t.co/GgPYgQaXVG'",1 Bitcoin BTC nDollar 8468 75 n n1 Bitcoin Cash BCH nDollar 2 63 86 n n1 Ethereum ETH nDollar 180 99 xe2 x80 xa6
2019-11-17T04:39:32.000Z,"b'I sell $70,000 of #Bitcoin account Send me a #DM \\nMoney increases account\\n#selling #account #sellingaccount #accountforsale #sale #sell #buy'",I sell 70 000 of Bitcoin account Send me a DM nMoney increases account n selling account sellingaccount accountforsale sale sell uy
2019-11-17T04:39:38.000Z,b'#16Nov 23:39\nPrecio del #Bitcoin: 8541.55 USD\n#BTC $BTC https://t.co/jP3SNi7KRr',16Nov 23 39 nPrecio del Bitcoin 8541 55 USD n BTC BTC
2019-11-17T04:39:45.000Z,b'#gofundme #needs #legitimate \n#ShareTheLove #bitcoin #cryptocurrency \n\nhttps://t.co/sX7DEP7Dzt',gofundme needs legitimate n ShareTheLove itcoin cryptocurrency n
2019-11-17T04:40:02.000Z,b'MercadoBitcoin(BTC) =&gt; R$36300 | BlockChain(BTC) =&gt; R$35572 | MercadoBitcoin(LTC) =&gt; R$249 #bitcoin #litecoin',MercadoBitcoin BTC gt R 36300 BlockChain BTC gt R 35572 MercadoBitcoin LTC gt R 249 itcoin litecoin
2019-11-17T04:40:03.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 07:40:02\\n#Bitcoin: $8,542.212\\n#Ethereum: $182.597\\n#XRP: $0.264\\xe2\\x80\\xa6 https://t.co/S40aiRIuua'",Top 5 cryptocurrencies n Alert Time 2019 11 17 07 40 02 n Bitcoin 8 542 212 n Ethereum 182 597 n XRP 0 264 xe2 x80 xa6
2019-11-17T04:40:45.000Z,b'#crypto mkt cap last hour\n\n\xf0\x9f\x9a\x80\n$BTC +13.841m\n$XRP +7.141m\n$MKR +5.638m\n\n\xf0\x9f\x8c\xa7\xef\xb8\x8f\n$ETH -53.046m\n$BSV -17.580m\n$EOS -14.507m\n\n#bitcoin #cryptocurrency',crypto mkt cap last hour n n xf0 x9f x9a x80 n BTC 13 841m n XRP 7 141m n MKR 5 638m n n xf0 x9f x8c xa7 xef x8 x8f n ETH 53 046m n BSV 17 580m n EOS 14 507m n n itcoin cryptocurrency
2019-11-17T04:40:53.000Z,b'\xe3\x81\x93\xe3\x82\x8c\xe3\x81\x8b\xe3\x82\x89\xe3\x81\xae\xe6\x99\x82\xe4\xbb\xa3\xe3\x81\xaf\xe5\x89\xaf\xe5\x8f\x8e\xe5\x85\xa5\xe3\x81\x8c\xe7\xb5\xb6\xe5\xaf\xbe\xe3\x81\xab\xe5\xbf\x85\xe8\xa6\x81\xe3\x81\xab\xe3\x81\xaa\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82\xe3\x81\x9d\xe3\x81\xae\xe4\xba\xba\xe3\x81\xab\xe5\x90\x88\xe3\x81\xa3\xe3\x81\x9f\xe5\x89\xaf\xe6\xa5\xad\xe3\x80\x81\xe3\x81\x8a\xe9\x87\x91\xe3\x81\xae\xe7\xa8\xbc\xe3\x81\x8e\xe6\x96\xb9\xe3\x82\x92\xe7\x84\xa1\xe6\x96\x99\xe3\x81\xa7\xe3\x81\x8a\xe6\x95\x99\xe3\x81\x88\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82\xe8\x88\x88\xe5\x91\xb3\xe3\x81\xae\xe3\x81\x82\xe3\x82\x8b\xe6\x96\xb9\xe3\x81\xaf\xe3\x83\x95\xe3\x82\xa9\xe3\x83\xad\xe3\x83\xbc\xe3\x83\xbbDM\xe3\x81\x8a\xe5\xbe\x85\xe3\x81\xa1\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x8a\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82#Bitcoin  #\xe5\x89\xaf\xe5\x8f\x8e\xe5\x85\xa5  #\xe5\x89\xaf\xe6\xa5\xad  #\xe3\x81\x8a\xe9\x87\x91  #\xe7\xa8\xbc\xe3\x81\x8e\xe3\x81\x9f\xe3\x81\x84  #\xe7\xa8\xbc\xe3\x81\x90',xe3 x81 x93 xe3 x82 x8c xe3 x81 x8 xe3 x82 x89 xe3 x81 xae xe6 x99 x82 xe4 x xa3 xe3 x81 xaf xe5 x89 xaf xe5 x8f x8e xe5 x85 xa5 xe3 x81 x8c xe7 x5 x6 xe5 xaf xe xe3 x81 xa xe5 xf x85 xe8 xa6 x81 xe3 x81 xa xe3 x81 xaa xe3 x82 x8a xe3 x81 xe xe3 x81 x99 xe3 x80 x82 xe3 x81 x9d xe3 x81 xae xe4 xa xa xe3 x81 xa xe5 x90 x88 xe3 x81 xa3 xe3 x81 x9f xe5 x89 xaf xe6 xa5 xad xe3 x80 x81 xe3 x81 x8a xe9 x87 x91 xe3 x81 xae xe7 xa8 xc xe3 x81 x8e xe6 x96 x9 xe3 x82 x92 xe7 x84 xa1 xe6 x96 x99 xe3 x81 xa7 xe3 x81 x8a xe6 x95 x99 xe3 x81 x88 xe3 x81 x97 xe3 x81 xe xe3 x81 x99 xe3 x80 x82 xe8 x88 x88 xe5 x91 x3 xe3 x81 xae xe3 x81 x82 xe3 x82 x8 xe6 x96 x9 xe3 x81 xaf xe3 x83 x95 xe3 x82 xa9 xe3 x83 xad xe3 x83 xc xe3 x83 xDM xe3 x81 x8a xe5 xe x85 xe3 x81 xa1 xe3 x81 x97 xe3 x81 xa6 xe3 x81 x8a xe3 x82 x8a xe3 x81 xe xe3 x81 x99 xe3 x80 x82 Bitcoin xe5 x89 xaf xe5 x8f x8e xe5 x85 xa5 xe5 x89 xaf xe6 xa5 xad xe3 x81 x8a xe9 x87 x91 xe7 xa8 xc xe3 x81 x8e xe3 x81 x9f xe3 x81 x84 xe7 xa8 xc xe3 x81 x90
2019-11-17T04:41:16.000Z,"b'Me in last 2 weeks:\\n\\nMade 45% in Stock markets. \\n\\nMade -20% in Crypto market. \\n\\nReason: Shit, no news to make calls\\xe2\\x80\\xa6 https://t.co/wPmFDjSKWj'",Me in last 2 weeks n nMade 45 in Stock markets n nMade 20 in Crypto market n nReason Shit no news to make calls xe2 x80 xa6
2019-11-17T04:41:25.000Z,b'*$200.000 reward pool is here* \n\n#bitcoin #blockchain #emirex\n\n *Register here* \xf0\x9f\x91\x89 https://t.co/oRzOLzpBTb\n\n\xe2\x9c\x85 Bind 2\xe2\x80\xa6 https://t.co/Z2TB38shQv',200 000 reward pool is here n n itcoin lockchain emirex n n Register here xf0 x9f x91 x89 Bind 2 xe2 x80 xa6
