2019-11-17T04:55:44.000Z,b'\xe3\x80\x90\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3\xe3\x80\x919\xe6\x99\x82\xe3\x81\xab\xe5\xb0\x91\xe3\x81\x97\xe4\xb8\x8a\xe3\x81\x8c\xe3\x81\xa3\xe3\x81\x9f\xe3\x81\xae\xe3\x81\xab\xe3\x81\xbe\xe3\x81\x9f92\xe4\xb8\x87\xe5\x89\xb2\xe3\x82\x8a\xe3\x81\x9d\xe3\x81\x86\xe3\x81\xab\xe3\x81\xaa\xe3\x81\xa3\xe3\x81\xa6\xe3\x82\x8b\xe3\x81\x97\xe3\x80\x81\xe3\x81\x93\xe3\x82\x8c\xe3\x82\x82\xe3\x81\x8690\xe4\xb8\x87\xe5\x89\xb2\xe3\x82\x8c\xe3\x82\x8b\xe3\x82\x93\xe3\x81\x98\xe3\x82\x83\xe3\x81\xad\xef\xbc\x9f\nhttps://t.co/bIuTiTPxoc\n#\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3 #\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8 #\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3 #Bitcoin',xe3 x80 x90 xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 xe3 x80 x919 xe6 x99 x82 xe3 x81 xa xe5 x0 x91 xe3 x81 x97 xe4 x8 x8a xe3 x81 x8c xe3 x81 xa3 xe3 x81 x9f xe3 x81 xae xe3 x81 xa xe3 x81 xe xe3 x81 x9f92 xe4 x8 x87 xe5 x89 x2 xe3 x82 x8a xe3 x81 x9d xe3 x81 x86 xe3 x81 xa xe3 x81 xaa xe3 x81 xa3 xe3 x81 xa6 xe3 x82 x8 xe3 x81 x97 xe3 x80 x81 xe3 x81 x93 xe3 x82 x8c xe3 x82 x82 xe3 x81 x8690 xe4 x8 x87 xe5 x89 x2 xe3 x82 x8c xe3 x82 x8 xe3 x82 x93 xe3 x81 x98 xe3 x82 x83 xe3 x81 xad xef xc x9f nhttps xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 Bitcoin
2019-11-17T04:55:47.000Z,"b'Some big Sell Orders of $COV today, must be all my fault but surely not \\n\\n@PrimeXBT / @Covesting Dev.teams 6 months\\xe2\\x80\\xa6 https://t.co/t9ztCfEnO8'",Some ig Sell Orders of COV today must e all my fault ut surely not n n Dev teams 6 months xe2 x80 xa6
2019-11-17T04:55:53.000Z,b'#DACX #IEO #cryptocurrency #blockchain #bitcoin https://t.co/6kC0bYJhha',DACX IEO cryptocurrency lockchain itcoin
2019-11-17T04:56:07.000Z,b'Nexus\xef\xbc\x9a\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3\xe6\xb4\xbe\xe7\x94\x9f\xe3\x83\x97\xe3\x83\xad\xe3\x82\xb8\xe3\x82\xa7\xe3\x82\xaf\xe3\x83\x88\xe3\x81\xab\xe5\xbf\x9c\xe7\x94\xa8\xe3\x81\xa7\xe3\x81\x8d\xe3\x82\x8b\xe3\x80\x8c\xe3\x82\xb9\xe3\x83\x9e\xe3\x83\xbc\xe3\x83\x88\xe3\x82\xb3\xe3\x83\xb3\xe3\x83\x88\xe3\x83\xa9\xe3\x82\xaf\xe3\x83\x88\xe6\xa9\x9f\xe8\x83\xbd\xe3\x80\x8d\xe3\x82\x92\xe9\x96\x8b\xe7\x99\xba #\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8 #cryptocurrency #\xe5\x9b\xbd\xe9\x9a\x9b\xe3\x83\x8b\xe3\x83\xa5\xe3\x83\xbc\xe3\x82\xb9 #\xe3\x83\x96\xe3\x83\xad\xe3\x83\x83\xe3\x82\xaf\xe3\x83\x81\xe3\x82\xa7\xe3\x83\xbc\xe3\x83\xb3 #blockchain #\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3 #Bitcoin ...\n#\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8 #\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3 #\xe5\x89\xaf\xe6\xa5\xad',Nexus xef xc x9a xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 xe6 x4 xe xe7 x94 x9f xe3 x83 x97 xe3 x83 xad xe3 x82 x8 xe3 x82 xa7 xe3 x82 xaf xe3 x83 x88 xe3 x81 xa xe5 xf x9c xe7 x94 xa8 xe3 x81 xa7 xe3 x81 x8d xe3 x82 x8 xe3 x80 x8c xe3 x82 x9 xe3 x83 x9e xe3 x83 xc xe3 x83 x88 xe3 x82 x3 xe3 x83 x3 xe3 x83 x88 xe3 x83 xa9 xe3 x82 xaf xe3 x83 x88 xe6 xa9 x9f xe8 x83 xd xe3 x80 x8d xe3 x82 x92 xe9 x96 x8 xe7 x99 xa xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 cryptocurrency xe5 x9 xd xe9 x9a x9 xe3 x83 x8 xe3 x83 xa5 xe3 x83 xc xe3 x82 x9 xe3 x83 x96 xe3 x83 xad xe3 x83 x83 xe3 x82 xaf xe3 x83 x81 xe3 x82 xa7 xe3 x83 xc xe3 x83 x3 lockchain xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 Bitcoin n xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 xe5 x89 xaf xe6 xa5 xad
2019-11-17T04:56:41.000Z,b'Please leave the trashing of other products to us professionals. #mineon #wearenotretail https://t.co/taxKzhhn2Q\xe2\x80\xa6 https://t.co/waUKzoQ6Mk',Please leave the trashing of other products to us professionals mineon wearenotretail
2019-11-17T04:56:50.000Z,"\"b\"\"'#Bitcoin is the most important invention in the history of the world since the Internet.' \\xe2\\x80\\x93 Roger Ver\\n#Investment #BTC #Crypto\\xf0\\x9f\\xa4\\x91\"\"\"",Bitcoin is the most important invention in the history of the world since the Internet xe2 x80 x93 Roger Ver n Investment BTC Crypto xf0 x9f xa4 x91
2019-11-17T04:57:03.000Z,b'\xe2\x98\x85\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3\xe3\x81\x8c\xe7\x84\xa1\xe6\x96\x99\xe3\x81\xa7\xe8\xb2\xb0\xe3\x81\x88\xe3\x82\x8b\xe6\x96\xb9\xe6\xb3\x95\xe2\x98\x85\n\nhttps://t.co/LdClcda7aV\n\n#Bitcoin\n#BTC\n#\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3\n#blockchain\n#\xe3\x82\xa4\xe3\x83\xbc\xe3\x82\xb5\xe3\x83\xaa\xe3\x82\xa2\xe3\x83\xa0\n#Ethereum\n#ETH\n#\xe3\x83\x96\xe3\x83\xad\xe3\x83\x83\xe3\x82\xaf\xe3\x83\x81\xe3\x82\xa7\xe3\x83\xbc\xe3\x83\xb3\xe2\x80\xa6 https://t.co/rTVdcniR4O',xe2 x98 x85 xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 xe3 x81 x8c xe7 x84 xa1 xe6 x96 x99 xe3 x81 xa7 xe8 x2 x0 xe3 x81 x88 xe3 x82 x8 xe6 x96 x9 xe6 x3 x95 xe2 x98 x85 n nhttps
2019-11-17T04:57:06.000Z,"\"b\"\"I've said this dozens of time before but it seems to me that #bitcoin is about to explode to the upside.  It's been\\xe2\\x80\\xa6 https://t.co/rhu4AHg9z4\"\"\"",I ve said this dozens of time efore ut it seems to me that itcoin is aout to explode to the upside It s een xe2 x80 xa6
2019-11-17T04:57:12.000Z,"b'#bitcoin to $4,000 again?  for COINBASE:BTCUSD by Ayric https://t.co/P5aigRCMVv https://t.co/M8cKRMjYMT'",itcoin to 4 000 again for COINBASE BTCUSD y Ayric
2019-11-17T04:57:36.000Z,b'@wetbtc @trylolli That\xe2\x80\x99s a nice sats stack right there! #Bitcoin',That xe2 x80 x99s a nice sats stack right there Bitcoin
2019-11-17T04:58:21.000Z,"b'\\xf0\\x9f\\x98\\x8d Unos $btc en keno, as\\xc3\\xad da gusto \\nhttps://t.co/DxtbmrqCoU\\n\\n#bitcoin #cryptos #keno #apuestas #bet #lucky https://t.co/QH2u5Bdg86'",xf0 x9f x98 x8d Unos tc en keno as xc3 xad da gusto nhttps cryptos keno apuestas et lucky
