2019-11-17T05:41:19.000Z,b'@extstock @dcs_token Great! #cryptocurrency\xc2\xa0#bitcoin',Great cryptocurrency xc2 xa0 itcoin
2019-11-17T05:41:32.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin',cryptocurrency itcoin
2019-11-17T05:41:46.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin\nGreat project and thanks for the',cryptocurrency itcoin nGreat project and thanks for the
2019-11-17T05:42:17.000Z,"b'#Bitcoin Binance 4h BTCUSDT:8486.94 RSI(36.10) StochRSI(60.40,53.66) macd(-68.18,-77.17) sma21:8562.28 sma50:8703.0\\xe2\\x80\\xa6 https://t.co/0hMdsM4hoF'",Bitcoin Binance 4h BTCUSDT 8486 94 RSI 36 10 StochRSI 60 40 53 66 macd 68 18 77 17 sma21 8562 28 sma50 8703 0 xe2 x80 xa6
2019-11-17T05:42:31.000Z,b'Bet on #Euro2020 by bitcoin! \n\nJoin https://t.co/OFxbPIdo3A &amp; get your 5 BTC Bonus.\n\nCheck it out!\nFast Deposit/Wit\xe2\x80\xa6 https://t.co/qT60TdakuN',Bet on Euro2020 y itcoin n nJoin amp get your 5 BTC Bonus n nCheck it out nFast Deposit Wit xe2 x80 xa6
2019-11-17T05:42:57.000Z,"b'$fuel / $btc: +9% value, +13% volume at #Binance (#Etherparty / #Bitcoin, @etherparty_com, #cryptoasset, https://t.co/h6hbZFqnLZ)'",fuel tc 9 value 13 volume at Binance Etherparty Bitcoin cryptoasset
2019-11-17T05:42:57.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin \ngreat project',cryptocurrency itcoin ngreat project
2019-11-17T05:43:01.000Z,b'#cryptocurrency #bitcoin https://t.co/n2hhXQYqvH',cryptocurrency itcoin
2019-11-17T05:43:04.000Z,b'Get Free crypto just using this browser.  \n\nclick here https://t.co/GBhxB5QKve  \n\n#Crypto #btc #eth #money #bitcoin\xe2\x80\xa6 https://t.co/YhUyUDxsX5',Get Free crypto just using this rowser n nclick here n n Crypto tc eth money itcoin xe2 x80 xa6
2019-11-17T05:43:09.000Z,"\"b'@SantiagoAuFund @AgentEconomicus Gold have \"\"adaptive\"\" rate of mining and unlimited supply. When price growth - grow\\xe2\\x80\\xa6 https://t.co/fOuSPLxo45'\"",Gold have adaptive rate of mining and unlimited supply When price growth grow xe2 x80 xa6
2019-11-17T05:43:10.000Z,"b'Follow-up on my #bitcoin call, thusfar.\\n\\nWe dropped down to the top of the liquidity block, and I think/thought tha\\xe2\\x80\\xa6 https://t.co/XnGIkZ9rB6'",Follow up on my itcoin call thusfar n nWe dropped down to the top of the liquidity lock and I think thought tha xe2 x80 xa6
