2019-11-17T07:22:28.000Z,"b'1 \\xe2\\x9c\\x85\\xf0\\x9f\\x94\\xa5\\xe2\\x9c\\x85\\xf0\\x9f\\x94\\xa5\\xe2\\x9c\\x85\\xf0\\x9f\\x94\\xa5\\xe2\\x9c\\x85\\xf0\\x9f\\x94\\xa5\\xe2\\x9c\\x85 Standfit \\xf0\\x9f\\x92\\xaa\\nBut staked so low \\xf0\\x9f\\xa4\\xa6\\xe2\\x80\\x8d\\xe2\\x99\\x82\\xef\\xb8\\x8f, still something tho \\xf0\\x9f\\x99\\x8f\\n@supa_bets @BetPreneur_ @Asian_handicap_\\xe2\\x80\\xa6 https://t.co/1JyH99JRnO'",1 xe2 x9c x85 xf0 x9f x94 xa5 xe2 x9c x85 xf0 x9f x94 xa5 xe2 x9c x85 xf0 x9f x94 xa5 xe2 x9c x85 xf0 x9f x94 xa5 xe2 x9c x85 Standfit xf0 x9f x92 xaa nBut staked so low xf0 x9f xa4 xa6 xe2 x80 x8d xe2 x99 x82 xef x8 x8f still something tho xf0 x9f x99 x8f n xe2 x80 xa6
2019-11-17T07:22:53.000Z,b'@extstock @dcs_token Great project and team #cryptocurrency\xc2\xa0#bitcoin',Great project and team cryptocurrency xc2 xa0 itcoin
2019-11-17T07:23:13.000Z,b'send btc to 1MG9mzgFJkK7LowDDHZafmyGhv8Ama5iWA\n#bitcoin',send tc to 1MG9mzgFJkK7LowDDHZafmyGhv8Ama5iWA n itcoin
2019-11-17T07:23:53.000Z,"b'825 #Bitcoin mined since last tweet.\\n \\n New Supply: 18,051,987 \\n \\n It represents $7,041,102 (At $8,535 per $BTC #BTC) \\n Progress: 85.96 %'",825 Bitcoin mined since last tweet n n New Supply 18 051 987 n n It represents 7 041 102 At 8 535 per BTC BTC n Progress 85 96
2019-11-17T07:23:57.000Z,b'@extstock @dcs_token #cryptocurrency\xc2\xa0#bitcoin',cryptocurrency xc2 xa0 itcoin
2019-11-17T07:24:02.000Z,b'Hyper super big chance in a billion! $BTC price: 8467.0 BTC/USD (2019/11/17 16:20:16) #bitcoin #btc #bch #xrp #eth\xe2\x80\xa6 https://t.co/0UxNoWIHLF',Hyper super ig chance in a illion BTC price 8467 0 BTC USD 2019 11 17 16 20 16 itcoin tc ch xrp eth xe2 x80 xa6
2019-11-17T07:24:09.000Z,b'@extstock @dcs_token Great project i wish the future is so bright\n\n#cryptocurrency #bitcoin',Great project i wish the future is so right n n cryptocurrency itcoin
2019-11-17T07:24:09.000Z,"b'L\\xe2\\x80\\x99informatique quantique et la blockchain, une \\xc3\\xa9quation \\xc3\\xa0 plusieurs inconnues https://t.co/alqmaQO6mo\\xe2\\x80\\xa6 https://t.co/qzUt4VmNpA'",L xe2 x80 x99informatique quantique et la lockchain une xc3 xa9quation xc3 xa0 plusieurs inconnues
2019-11-17T07:24:24.000Z,"b'As I told you month ago #ALTS bounced well\\xf0\\x9f\\x92\\xa5\\n\\n#altszn continues\\xf0\\x9f\\xa4\\x91\\n\\n$RLC-114%, $LEND-190%, $VET -105%, $KEY-180% profi\\xe2\\x80\\xa6 https://t.co/fqJ05THEcS'",As I told you month ago ALTS ounced well xf0 x9f x92 xa5 n n altszn continues xf0 x9f xa4 x91 n n RLC 114 LEND 190 VET 105 KEY 180 profi xe2 x80 xa6
2019-11-17T07:24:27.000Z,b'@extstock @dcs_token Nice #cryptocurrency\xc2\xa0#bitcoin',Nice cryptocurrency xc2 xa0 itcoin
2019-11-17T07:25:32.000Z,b'BestChange - Claim free Bitcoin and get e-currency exchange rates! https://t.co/xriaOAgc43 #bitcoin \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb',BestChange Claim free Bitcoin and get e currency exchange rates itcoin xf0 x9f x91 x8d xf0 x9f x8f x
