2019-11-17T10:38:24.000Z,b'Hello $btc #bitcoin \xf0\x9f\x8c\x9a\n\nhttps://t.co/NIODj1nVmN https://t.co/IIuQoVTb6p',Hello tc itcoin xf0 x9f x8c x9a n nhttps
2019-11-17T10:38:26.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin \nVerry good project',cryptocurrency itcoin nVerry good project
2019-11-17T10:38:26.000Z,b'#crypto #cryptocurrency #bitcoin #altcoin #mlm #money #businessman #rich #millionaire #billionaire #bitcoin https://t.co/2slXhAWHsA',crypto cryptocurrency itcoin altcoin mlm money usinessman rich millionaire illionaire itcoin
2019-11-17T10:38:27.000Z,b'3 Things Stopping #Bitcoin From Returning to $20k - https://t.co/jif9BWnU96 via @bitcoinist  #blockchain\xe2\x80\xa6 https://t.co/DRowHHUEXQ',3 Things Stopping Bitcoin From Returning to 20k via lockchain xe2 x80 xa6
2019-11-17T10:38:33.000Z,b'$$$$$$$$$$$$$$$$$$$$$\n$$$$$$$$$$$$$$$$$$$$$\n$$$$$$$$$$$$$$$$$$$$$\n$$$$$$$$$$$$$$$$$$$$$\n$$$$$$$$ $BTC $$$$$$$$\n$$$$\xe2\x80\xa6 https://t.co/RxOdPqIbxy',n n n n BTC n xe2 x80 xa6
2019-11-17T10:38:44.000Z,"b'#Crypto Analyst Tone Vays Unveils $100K #Bitcoin (BTC) Timeline \\xe2\\x80\\x93 Plus Ethereum, XRP and Ripple Updates\\xc2\\xa0\\xc2\\xa0The Daily\\xe2\\x80\\xa6 https://t.co/9EUYkzAUd6'",Crypto Analyst Tone Vays Unveils 100K Bitcoin BTC Timeline xe2 x80 x93 Plus Ethereum XRP and Ripple Updates xc2 xa0 xc2 xa0The Daily xe2 x80 xa6
2019-11-17T10:38:45.000Z,b'#realestate #blockchain #property #bitcoin https://t.co/SHtDDE8s91',realestate lockchain property itcoin
2019-11-17T10:38:46.000Z,b'#crypto #cryptocurrency #bitcoin #altcoin #mlm #money #businessman #rich #millionaire #billionaire #bitcoin https://t.co/ujs8iwrmgc',crypto cryptocurrency itcoin altcoin mlm money usinessman rich millionaire illionaire itcoin
2019-11-17T10:39:10.000Z,b'I am talented #embroidery_digitier\n#HarryOnSNL #Bangladesh #OBSESSION #bitcoin   #wordpress #DigitalMarketing\xe2\x80\xa6 https://t.co/VCb3izxfvo',I am talented emroidery digitier n HarryOnSNL Bangladesh OBSESSION itcoin wordpress DigitalMarketing xe2 x80 xa6
2019-11-17T10:39:17.000Z,"b'1 Bitcoin ( #BTC )\\nDollar: 8529.95$ \\n\\n1 Bitcoin Cash ( #BCH )\\nDollar: 2,65.05$ \\n\\n1 Ethereum ( #ETH )\\nDollar: 183.40\\xe2\\x80\\xa6 https://t.co/z37nXGc8Mz'",1 Bitcoin BTC nDollar 8529 95 n n1 Bitcoin Cash BCH nDollar 2 65 05 n n1 Ethereum ETH nDollar 183 40 xe2 x80 xa6
2019-11-17T10:39:25.000Z,b'The #Internal #Revenue Service is actively looking into potential #money #laundering and tax evasion issues posed b\xe2\x80\xa6 https://t.co/ZF7ivbVDOB',The Internal Revenue Service is actively looking into potential money laundering and tax evasion issues posed xe2 x80 xa6
2019-11-17T10:39:28.000Z,b'Extremely Dangerous Bobby Lee Regrets Backing Bitcoin SegWit2x - https://t.co/DAZUR90E4d $BTC #cryptocurrency #bitcoin #altcoin',Extremely Dangerous Boy Lee Regrets Backing Bitcoin SegWit2x BTC cryptocurrency itcoin altcoin
2019-11-17T10:39:32.000Z,"b'I sell $70,000  of #Bitcoin account  Send me a #DM  #selling #account #sellingaccount #accountforsale #sale #sell #buy #buyaccount'",I sell 70 000 of Bitcoin account Send me a DM selling account sellingaccount accountforsale sale sell uy uyaccount
