2019-11-17T11:24:30.000Z,"\"b\"\"@DiverterB Please",Please
2019-11-17T11:24:49.000Z,b'#BTC #Bitcoin Price Could Soon Pump Another 20 Percent as Trading Volumes Tank\n\nhttps://t.co/lCAHm5gvgH',BTC Bitcoin Price Could Soon Pump Another 20 Percent as Trading Volumes Tank n
2019-11-17T11:25:06.000Z,b'The euphoria of a proper bull run is indescribable.\n\nYou have to experience it.\n\nWe are day closer.\xe2\x80\xa6 https://t.co/PZnFoXGJt8',The euphoria of a proper ull run is indescriale n nYou have to experience it n nWe are day closer xe2 x80 xa6
2019-11-17T11:25:33.000Z,b'#Bitcoin\nNext upgrade \nTarget 2 \n8137$\nLevel1 8340$ 15.11.2019 \xf0\x9f\x91\x88\xf0\x9f\x91\x8d\nLevel2 8251$ next level \xf0\x9f\x98\x8e\nLevel3 8173$\nLevel4 Tar\xe2\x80\xa6 https://t.co/6LybCgfjJo',Bitcoin nNext upgrade nTarget 2 n8137 nLevel1 8340 15 11 2019 xf0 x9f x91 x88 xf0 x9f x91 x8d nLevel2 8251 next level xf0 x9f x98 x8e nLevel3 8173 nLevel4 Tar xe2 x80 xa6
2019-11-17T11:26:14.000Z,b'Calibra Head David Marcus Touts Libra\xe2\x80\x99s Money Laundering Standards\n\n#money #trader #bitcoin',Calira Head David Marcus Touts Lira xe2 x80 x99s Money Laundering Standards n n money trader itcoin
2019-11-17T11:26:37.000Z,b'#Chile las #criptomonedas #Bitcoin #ethereum #eth estuvieran prohibidas porque el #Servicio de impuesto Internos\xe2\x80\xa6 https://t.co/7fXd1RxNnA',Chile las criptomonedas Bitcoin ethereum eth estuvieran prohiidas porque el Servicio de impuesto Internos xe2 x80 xa6
2019-11-17T11:26:39.000Z,b'Watch videos to earn bitcoin  \n\nSee It Now:  https://t.co/XUJfhkZ3bB\n\n #Successful #Watch #Videos #Earn #Bitcoin',Watch videos to earn itcoin n nSee It Now Successful Watch Videos Earn Bitcoin
2019-11-17T11:26:41.000Z,"b'#Bluzelle\\xf0\\x9f\\x92\\xb5\\n\\n#BLZ Our signals are the best,cause even oldest signals we close at profit +35% profit\\xf0\\x9f\\xa4\\x91\\n\\nWhat u waiting\\xe2\\x80\\xa6 https://t.co/q9uMjQFPr1'",Bluzelle xf0 x9f x92 x5 n n BLZ Our signals are the est cause even oldest signals we close at profit 35 profit xf0 x9f xa4 x91 n nWhat u waiting xe2 x80 xa6
2019-11-17T11:26:48.000Z,"b'We have had this before. It was a crazy dump. Two traders battling it out. Alas the trend before was dump, pump, pu\\xe2\\x80\\xa6 https://t.co/wXaZdE93VV'",We have had this efore It was a crazy dump Two traders attling it out Alas the trend efore was dump pump pu xe2 x80 xa6
2019-11-17T11:27:02.000Z,b'#Bitcoin\nNext upgrade \nTarget 2 \n8137$\nLevel1 8340$ 15.11.2019 \xf0\x9f\x91\x88\xf0\x9f\x91\x8d\nLevel2 8251$ next level \xf0\x9f\x98\x8e\nLevel3 8173$\nLevel4 Tar\xe2\x80\xa6 https://t.co/40PdeFPvIm',Bitcoin nNext upgrade nTarget 2 n8137 nLevel1 8340 15 11 2019 xf0 x9f x91 x88 xf0 x9f x91 x8d nLevel2 8251 next level xf0 x9f x98 x8e nLevel3 8173 nLevel4 Tar xe2 x80 xa6
2019-11-17T11:27:36.000Z,"b'This statement made by Dr Craig Wright in November 2018 may send shock waves, over the coming weeks, through the cr\\xe2\\x80\\xa6 https://t.co/oPL0c2kKK8'",This statement made y Dr Craig Wright in Novemer 2018 may send shock waves over the coming weeks through the cr xe2 x80 xa6
