2019-11-17T11:40:50.000Z,"b'Bitcoin ATMs Worldwide Hit New Milestone, Surpassing 6000\\n\\nhttps://t.co/eerF0w1SbK\\n\\n#Bitcoin\\n#BitcoinLifestyle https://t.co/BuQgJftvKq'",Bitcoin ATMs Worldwide Hit New Milestone Surpassing 6000 n nhttps
2019-11-17T11:40:59.000Z,b'@extstock @dcs_token #cryptocurrencies #bitcoin',cryptocurrencies itcoin
2019-11-17T11:41:12.000Z,b'#Bitcuners Todo lo que debe saber sobre Bitcoin y las criptomonedas en Bolivia https://t.co/WhHuIp9gz3 #Bitcoin',Bitcuners Todo lo que dee saer sore Bitcoin y las criptomonedas en Bolivia Bitcoin
2019-11-17T11:41:12.000Z,"b'#Bitcuners Resumen Latinoam\\xc3\\xa9rica: Costa Rica y Colombia se unen para impulsar Blockchain, hackers atacan empresa pe\\xe2\\x80\\xa6 https://t.co/2mBLyDbwe1'",Bitcuners Resumen Latinoam xc3 xa9rica Costa Rica y Colomia se unen para impulsar Blockchain hackers atacan empresa pe xe2 x80 xa6
2019-11-17T11:41:13.000Z,"b'#Bitcuners Mujeres Blockchain: Laura \\xc3\\x81ngel, de NEM M\\xc3\\xa9xico, dice que \\xc2\\xabhay mucho vac\\xc3\\xado que se llena con tecnolog\\xc3\\xada\\xc2\\xbb\\xe2\\x80\\xa6 https://t.co/w4otxH3f0X'",Bitcuners Mujeres Blockchain Laura xc3 x81ngel de NEM M xc3 xa9xico dice que xc2 xahay mucho vac xc3 xado que se llena con tecnolog xc3 xada xc2 x xe2 x80 xa6
2019-11-17T11:41:13.000Z,"b'#Bitcuners Desde casas, hoteles, playas y hasta una isla: 127 propiedades se venden con Bitcoin en Latinoam\\xc3\\xa9rica\\xe2\\x80\\xa6 https://t.co/jAnTH5roW1'",Bitcuners Desde casas hoteles playas y hasta una isla 127 propiedades se venden con Bitcoin en Latinoam xc3 xa9rica xe2 x80 xa6
2019-11-17T11:41:23.000Z,b'Check out the latest Blockchain and Bitcoin news and resources at https://t.co/kqOzJ5zanZ #blockchain #bitcoin #btc\xe2\x80\xa6 https://t.co/nbDOqjMpVQ',Check out the latest Blockchain and Bitcoin news and resources at lockchain itcoin tc xe2 x80 xa6
2019-11-17T11:41:48.000Z,b'Coinbase Expands Support For XRP And More Cryptos\n#Bitcoin $btc #Ethereum $eth\nhttps://t.co/3iQCxwRcmG',Coinase Expands Support For XRP And More Cryptos n Bitcoin tc Ethereum eth
2019-11-17T11:42:02.000Z,"b'Actualmente hay m\\xc3\\xa1s de 6,000 cajeros autom\\xc3\\xa1ticos #Bitcoin en todo el mundo #ATM #Criptomonedas https://t.co/SvjsY9SMXo'",Actualmente hay m xc3 xa1s de 6 000 cajeros autom xc3 xa1ticos Bitcoin en todo el mundo ATM Criptomonedas
2019-11-17T11:42:16.000Z,"b'@riverish333 A big part of it is the media propaganda. \\n\\nKnowing the truth about #BSV being #BitCoin, It\\xe2\\x80\\x99s even mor\\xe2\\x80\\xa6 https://t.co/vMmxjNTqAl'",A ig part of it is the media propaganda n nKnowing the truth aout BSV eing BitCoin It xe2 x80 x99s even mor xe2 x80 xa6
2019-11-17T11:42:21.000Z,"b'#Bitcoin Binance 4h BTCUSDT:8536.27 RSI(45.26) StochRSI(56.35,50.58) macd(-65.68,-75.62) sma21:8547.90 sma50:8695.8\\xe2\\x80\\xa6 https://t.co/scJ6Cqpj7a'",Bitcoin Binance 4h BTCUSDT 8536 27 RSI 45 26 StochRSI 56 35 50 58 macd 65 68 75 62 sma21 8547 90 sma50 8695 8 xe2 x80 xa6
2019-11-17T11:42:35.000Z,b'#Bitcoin \xf0\x9f\x93\x88 \n\n\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91 44%\n\n price: $8534.995',Bitcoin xf0 x9f x93 x88 n n xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 44 n n price 8534 995
2019-11-17T11:42:46.000Z,b'#17Nov 06:42\nPrecio del #Bitcoin: 8597.21 USD\n#BTC $BTC https://t.co/CJAj7uzACg',17Nov 06 42 nPrecio del Bitcoin 8597 21 USD n BTC BTC
2019-11-17T11:42:49.000Z,"b'Took this scalp, bounced well off the recent range high. I am gunning for last big breakdown area! $BTC #bitcoin https://t.co/cEDB48jfjv'",Took this scalp ounced well off the recent range high I am gunning for last ig reakdown area BTC itcoin
2019-11-17T11:43:03.000Z,"b'As of November 16, 2019 at 05:43AM, 1 BTC = 8477.0801 USD. \\xf0\\x9f\\x98\\x84 https://t.co/ksCOqyBwFU \\xf0\\x9f\\x98\\x8b #Investing #fire #ira #401k\\xe2\\x80\\xa6 https://t.co/Vxuecdbe4i'",As of Novemer 16 2019 at 05 43AM 1 BTC 8477 0801 USD xf0 x9f x98 x84 xf0 x9f x98 x8 Investing fire ira 401k xe2 x80 xa6
2019-11-17T11:43:21.000Z,b'Most internet traffic in IRAN is SHUT DOWN. What is real censorship? via /r/Bitcoin https://t.co/GdoT8mqOoh #bitcoin',Most internet traffic in IRAN is SHUT DOWN What is real censorship via r Bitcoin itcoin
2019-11-17T11:43:51.000Z,b'The ELAD platform will provide a conduit for purchase and investment in commercial and residential real estate usin\xe2\x80\xa6 https://t.co/09hjnQXgvX',The ELAD platform will provide a conduit for purchase and investment in commercial and residential real estate usin xe2 x80 xa6
2019-11-17T11:43:53.000Z,b'Issues in Bitcoin transaction in Binance - $00 \n\nStop By: https://t.co/Xykpk46whh\n\n #OnlineAds #Issues #Bitcoin #Transaction #Binance',Issues in Bitcoin transaction in Binance 00 n nStop By OnlineAds Issues Bitcoin Transaction Binance
2019-11-17T11:44:12.000Z,"b'Perhaps Google Will Kill Bitcoin, After All #Fintech #Google #Bitcoin  https://t.co/84VJCWNjqZ'",Perhaps Google Will Kill Bitcoin After All Fintech Google Bitcoin
