2019-11-17T12:00:01.000Z,"b'#HourlyCryptoStatus (#1 to #3):\\n\\n#1 #btc (#bitcoin): 8,534.35 USD | 0.5% 24h\\n\\n#2 #eth (#ethereum): 184.59 USD | 1.5\\xe2\\x80\\xa6 https://t.co/dXyrLmoKv7'",HourlyCryptoStatus 1 to 3 n n 1 tc itcoin 8 534 35 USD 0 5 24h n n 2 eth ethereum 184 59 USD 1 5 xe2 x80 xa6
2019-11-17T12:00:02.000Z,"b'Bitcoin: $8,537.93\\n +0.60% (+$50.72)\\nHigh: $8,585.12\\nLow: $8,372.71\\nVolume: 40\\n\\n$BTC #BTC #bitcoin'",Bitcoin 8 537 93 n 0 60 50 72 nHigh 8 585 12 nLow 8 372 71 nVolume 40 n n BTC BTC itcoin
2019-11-17T12:00:02.000Z,b'BitcoinAverage - bitcoin price index - ($ 8545.7) - https://t.co/z6cbnPDdmv #bitcoin https://t.co/w3WqUrj8Ze',BitcoinAverage itcoin price index 8545 7 itcoin
2019-11-17T12:00:02.000Z,"b'A new post: Bitcoin ATMs Worldwide Hit New Milestone, Surpassing 6,000 is added on https://t.co/SrTh1xBE3p\\xe2\\x80\\xa6 https://t.co/cNqb5uH1bD'",A new post Bitcoin ATMs Worldwide Hit New Milestone Surpassing 6 000 is added on
2019-11-17T12:00:02.000Z,"\"b\"\"Join 'The Signal Premium' \\n\\n- Daily early trade Signals\\n- 80%+ success rate\\n- Premium Telegram &amp; Twitter access\\n- S\\xe2\\x80\\xa6 https://t.co/SYlBmCVqrj\"\"\"",Join The Signal Premium n n Daily early trade Signals n 80 success rate n Premium Telegram amp Twitter access n S xe2 x80 xa6
2019-11-17T12:00:02.000Z,b'\xf0\x9f\x93\x88 #Bitcoin (#BTC $BTC) global volume weighted average is currently $8537.252 | 0.7% change over 24hrs.  #crypto\xe2\x80\xa6 https://t.co/lMj8dGnPxu',xf0 x9f x93 x88 Bitcoin BTC BTC gloal volume weighted average is currently 8537 252 0 7 change over 24hrs crypto xe2 x80 xa6
2019-11-17T12:00:02.000Z,"\"b\"\"The Bitcoin $BTC price is currently 8597.1 $USD or 7779.27 $EUR.\\nIt's the number #1 cryptocurrency on the Earth wit\\xe2\\x80\\xa6 https://t.co/sFI6LrjllP\"\"\"",The Bitcoin BTC price is currently 8597 1 USD or 7779 27 EUR nIt s the numer 1 cryptocurrency on the Earth wit xe2 x80 xa6
2019-11-17T12:00:02.000Z,"b'11/17 21:00\\xe7\\x8f\\xbe\\xe5\\x9c\\xa8\\n\\n#Bitcoin : 928,130\\xe5\\x86\\x86\\xe2\\x86\\x91\\n#NEM #XEM : 4.5997\\xe5\\x86\\x86\\xe2\\x86\\x91\\n#Monacoin : 115.5\\xe5\\x86\\x86\\xe2\\x86\\x93\\n#Ethereum : 20,050\\xe5\\x86\\x86\\xe2\\x86\\x91\\n#Zaif : 0.158\\xe5\\x86\\x86\\xe2\\x86\\x91'",11 17 21 00 xe7 x8f xe xe5 x9c xa8 n n Bitcoin 928 130 xe5 x86 x86 xe2 x86 x91 n NEM XEM 4 5997 xe5 x86 x86 xe2 x86 x91 n Monacoin 115 5 xe5 x86 x86 xe2 x86 x93 n Ethereum 20 050 xe5 x86 x86 xe2 x86 x91 n Zaif 0 158 xe5 x86 x86 xe2 x86 x91
2019-11-17T12:00:03.000Z,b'MercadoBitcoin(BTC) =&gt; R$36300 | BlockChain(BTC) =&gt; R$35793 | MercadoBitcoin(LTC) =&gt; R$250 #bitcoin #litecoin',MercadoBitcoin BTC gt R 36300 BlockChain BTC gt R 35793 MercadoBitcoin LTC gt R 250 itcoin litecoin
2019-11-17T12:00:03.000Z,b'NOW SHILLING: #MANDELPEPE\nhttps://t.co/pa1LHYiCeS\n#RarePepe #PEPEwisdom #Pepecash #Bitcoin $BTC $XCP https://t.co/PLjhHtEzEJ',NOW SHILLING MANDELPEPE nhttps PEPEwisdom Pepecash Bitcoin BTC XCP
2019-11-17T12:00:04.000Z,b'MKS Znicz Pruszkow vs Katowice. #bitcoin #betting - https://t.co/CCJqCAx2qq',MKS Znicz Pruszkow vs Katowice itcoin etting
