2019-11-17T13:00:05.000Z,"b'\\xf0\\x9f\\x92\\xb0Bitcoin\\xe3\\x83\\x88\\xe3\\x83\\xa9\\xe3\\x83\\xb3\\xe3\\x82\\xb6\\xe3\\x82\\xaf\\xe3\\x82\\xb7\\xe3\\x83\\xa7\\xe3\\x83\\xb3\\xe7\\x8a\\xb6\\xe6\\xb3\\x81\\xf0\\x9f\\x92\\xb0\\n\\n\\xf0\\x9f\\x94\\xa7HashRate:10,033,852,497,839 KH/s\\n\\xf0\\x9f\\x94\\x9cNetworkDiff:12,720,005,267,390\\n\\xe2\\x9a\\xa0\\xe6\\x9c\\xaa\\xe7\\xa2\\xba\\xe8\\xaa\\x8d\\xe5\\x8f\\x96\\xe5\\xbc\\x95\\xe6\\x95\\xb0:0 \\xe4\\xbb\\xb6\\n\\n#bitcoin #ethereum #cryptocurrency #\\xe4\\xbb\\xae\\xe6\\x83\\xb3\\xe9\\x80\\x9a\\xe8\\xb2\\xa8'",xf0 x9f x92 x0Bitcoin xe3 x83 x88 xe3 x83 xa9 xe3 x83 x3 xe3 x82 x6 xe3 x82 xaf xe3 x82 x7 xe3 x83 xa7 xe3 x83 x3 xe7 x8a x6 xe6 x3 x81 xf0 x9f x92 x0 n n xf0 x9f x94 xa7HashRate 10 033 852 497 839 KH s n xf0 x9f x94 x9cNetworkDiff 12 720 005 267 390 n xe2 x9a xa0 xe6 x9c xaa xe7 xa2 xa xe8 xaa x8d xe5 x8f x96 xe5 xc x95 xe6 x95 x0 0 xe4 x x6 n n itcoin ethereum cryptocurrency xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8
2019-11-17T13:00:05.000Z,b'Sunday Digest: Bitcoin Price And The Race To Rule The Blockchain Space https://t.co/en7U1H6s3I #Bitcoin\xe2\x80\xa6 https://t.co/nB592AdsSB',Sunday Digest Bitcoin Price And The Race To Rule The Blockchain Space Bitcoin xe2 x80 xa6
2019-11-17T13:00:05.000Z,"b'A new post: Safex Gears up for Public Beta of its Safe, Secure, Decentralized Marketplace is added on\\xe2\\x80\\xa6 https://t.co/YOMCnRxNoL'",A new post Safex Gears up for Pulic Beta of its Safe Secure Decentralized Marketplace is added on xe2 x80 xa6
2019-11-17T13:00:07.000Z,"b'#BTC: \\xe2\\x82\\xba49.237,00\\n#ETH: \\xe2\\x82\\xba1.066,21\\n#LTC:  \\xe2\\x82\\xba343,60\\n#XRP: \\xe2\\x82\\xba1,52\\n\\n17.11.19 - 16:00\\n\\n#Bitcoin #Litecoin #Ethereum #Ripple\\xe2\\x80\\xa6 https://t.co/AwWEyYUm1o'",BTC xe2 x82 xa49 237 00 n ETH xe2 x82 xa1 066 21 n LTC xe2 x82 xa343 60 n XRP xe2 x82 xa1 52 n n17 11 19 16 00 n n Bitcoin Litecoin Ethereum Ripple xe2 x80 xa6
2019-11-17T13:00:07.000Z,b'#Rakamoto #Blockchain #Bitcoin #Ethereum #BTC #ETH #Crypto #Cryptocurrency #DApp #Stablecoin #Coin #Coins #Token\xe2\x80\xa6 https://t.co/zdPCdQGEgU',Rakamoto Blockchain Bitcoin Ethereum BTC ETH Crypto Cryptocurrency DApp Stalecoin Coin Coins Token xe2 x80 xa6
2019-11-17T13:00:08.000Z,b'TOP-12 most-mentioned #crypto this hour:\n1. #bitcoin\n2. #ethereum\n3. #tron\n4. #ardor\n5. #xrp\n6. #litecoin\n7. #nem\n8\xe2\x80\xa6 https://t.co/AnKvArPYZb',TOP 12 most mentioned crypto this hour n1 itcoin n2 ethereum n3 tron n4 ardor n5 xrp n6 litecoin n7 nem n8 xe2 x80 xa6
2019-11-17T13:00:09.000Z,"b'These Are The Golden Days of Crypto Collectibles, Says FinTech Expert\\nLearn why - &gt;https://t.co/s5J9dBsXZ2 by\\xe2\\x80\\xa6 https://t.co/B6LHTlGSyF'",These Are The Golden Days of Crypto Collectiles Says FinTech Expert nLearn why gt y xe2 x80 xa6
2019-11-17T13:00:09.000Z,"b'Nov 17, 2019 12:59:00 UTC | 8,574.20$ | 7,758.60\\xe2\\x82\\xac | 6,642.80\\xc2\\xa3 | #Bitcoin #BTC $BTC #crypto #financial #news https://t.co/jynqPpBJS1'",Nov 17 2019 12 59 00 UTC 8 574 20 7 758 60 xe2 x82 xac 6 642 80 xc2 xa3 Bitcoin BTC BTC crypto financial news
2019-11-17T13:00:09.000Z,b'#bitcoin #cryptocurrency #bitcoins #bitcoinmining #bitcoinnews #blockchain #crypto #bitcoinprice #ethereum\xe2\x80\xa6 https://t.co/KB11Z0BD0P',itcoin cryptocurrency itcoins itcoinmining itcoinnews lockchain crypto itcoinprice ethereum xe2 x80 xa6
2019-11-17T13:00:09.000Z,b'#bitcoin #cryptocurrency #bitcoins #bitcoinmining #bitcoinnews #blockchain #crypto #bitcoinprice #ethereum\xe2\x80\xa6 https://t.co/32qqhDv7Xs',itcoin cryptocurrency itcoins itcoinmining itcoinnews lockchain crypto itcoinprice ethereum xe2 x80 xa6
2019-11-17T13:00:10.000Z,b'German Regulator Flags Crypto Broker for Operating Without License \xf0\x9f\x91\x89 #CoinTelegraph #CryptocoinFactory #Bitcoin https://t.co/tI1UThzx8K',German Regulator Flags Crypto Broker for Operating Without License xf0 x9f x91 x89 CoinTelegraph CryptocoinFactory Bitcoin
2019-11-17T13:00:13.000Z,b'Earn passive #Bitcoin with no recruiting and no technical skills or experience. https://t.co/xnY5Tla8AS',Earn passive Bitcoin with no recruiting and no technical skills or experience
2019-11-17T13:00:14.000Z,"b'Top 100 avg 24h return: 1.0\\xc2\\xb14.0%; 68 up, 32 down\\n$BTC 0.8%  $ETH 1.8%\\nBest:\\n21.6% $CENNZ @centralityai\\n19.9% $SNX\\xe2\\x80\\xa6 https://t.co/TSyuOhdmlK'",Top 100 avg 24h return 1 0 xc2 x14 0 68 up 32 down n BTC 0 8 ETH 1 8 nBest n21 6 CENNZ n19 9 SNX xe2 x80 xa6
2019-11-17T13:00:15.000Z,"b'Nov 17, 2019 05:00AM #Bitcoin Price:\\nUSD 8641.27 | EUR 7689.03 | JPY 924217.83'",Nov 17 2019 05 00AM Bitcoin Price nUSD 8641 27 EUR 7689 03 JPY 924217 83
2019-11-17T13:00:17.000Z,b'#bitcoin #cryptocurrency #bitcoins #bitcoinmining #bitcoinnews #blockchain #crypto #bitcoinprice #ethereum\xe2\x80\xa6 https://t.co/YZU5l84mg5',itcoin cryptocurrency itcoins itcoinmining itcoinnews lockchain crypto itcoinprice ethereum xe2 x80 xa6
2019-11-17T13:00:24.000Z,b'Vous trouviez les proc\xc3\xa9dures de divorce compliqu\xc3\xa9es ? Alors imaginez lorsqu\xe2\x80\x99une ou plusieurs cryptomonnaies font pa\xe2\x80\xa6 https://t.co/7PaSbpoufw',Vous trouviez les proc xc3 xa9dures de divorce compliqu xc3 xa9es Alors imaginez lorsqu xe2 x80 x99une ou plusieurs cryptomonnaies font pa xe2 x80 xa6
2019-11-17T13:00:27.000Z,b'Come guadagnare interessi con i BITCOIN? https://t.co/vL1Aukb6jU\nLeggi la guida completa con tutte le opzioni attua\xe2\x80\xa6 https://t.co/Pa4NCKWdF3',Come guadagnare interessi con i BITCOIN la guida completa con tutte le opzioni attua xe2 x80 xa6
2019-11-17T13:00:30.000Z,b'BTC hourly update\n$8577.97    |    +0.0038%\xf0\x9f\x93\x88\n$BTC #BTCUSD #Bitcoin',BTC hourly update n 8577 97 0 0038 xf0 x9f x93 x88 n BTC BTCUSD Bitcoin
2019-11-17T13:00:31.000Z,b'#bitcoin A very easy way to earn money. Do you want to get free bitcoin? Discover the magic \xe2\x96\xb6\xe2\x80\xa6 https://t.co/BpgpvqHYcu',itcoin A very easy way to earn money Do you want to get free itcoin Discover the magic xe2 x96 x6 xe2 x80 xa6
2019-11-17T13:00:32.000Z,b'Top 7 Trends in Social Media Marketing https://t.co/qPVsxlRBQp #digitalmarketing #blockchain #bitcoin #money #tech',Top 7 Trends in Social Media Marketing digitalmarketing lockchain itcoin money tech
2019-11-17T13:00:33.000Z,"b'Bitcoin inicia la jornada del d\\xc3\\xada 17/11/2019 con el precio de 6,638,921.94 CLP, si deseas m\\xc3\\xa1s informaci\\xc3\\xb3n ingresa a\\xe2\\x80\\xa6 https://t.co/2XXqHzULLv'",Bitcoin inicia la jornada del d xc3 xada 17 11 2019 con el precio de 6 638 921 94 CLP si deseas m xc3 xa1s informaci xc3 x3n ingresa a xe2 x80 xa6
2019-11-17T13:00:36.000Z,b'Inbox me on how to earn weekly from binary trading/Bitcion Investment..\n\n#bitcoin #cryptocurrency #bitcoins\xe2\x80\xa6 https://t.co/3Mz9a6ZuhF',Inox me on how to earn weekly from inary trading Bitcion Investment n n itcoin cryptocurrency itcoins xe2 x80 xa6
2019-11-17T13:00:40.000Z,b'#bitcoin Earn FREE bitcoin with this easy strategy \xe2\x96\xb6 https://t.co/K41USsQ7H8 https://t.co/4rQtnaPL5z',itcoin Earn FREE itcoin with this easy strategy xe2 x96 x6
2019-11-17T13:00:43.000Z,b'#Rakamoto #Blockchain #Bitcoin #Ethereum #BTC #ETH #Crypto #Cryptocurrency #DApp #Stablecoin #Coin #Coins #Token\xe2\x80\xa6 https://t.co/ynVtmPuI7h',Rakamoto Blockchain Bitcoin Ethereum BTC ETH Crypto Cryptocurrency DApp Stalecoin Coin Coins Token xe2 x80 xa6
2019-11-17T13:00:51.000Z,b'#BTCUSD Market #1H timeframe on  November 17 at 12:00 (UTC)  is #Bullish.  #cryptocurrency #bitcoin  #btc #crypto\xe2\x80\xa6 https://t.co/h3xaELbeyH',BTCUSD Market 1H timeframe on Novemer 17 at 12 00 UTC is Bullish cryptocurrency itcoin tc crypto xe2 x80 xa6
2019-11-17T13:00:56.000Z,"b'Dow and s&amp;p make higher highs, btc making lower lows\\n#bitcoin #cryptocurrency @PeterSchiff'",Dow and s amp p make higher highs tc making lower lows n itcoin cryptocurrency
2019-11-17T13:00:59.000Z,b'#CryptoCotizaci\xc3\xb3n\n\xf0\x9f\x93\xa3 Precios actualizados a las 14:00:45.\n #Bitcoin #Ethereum #XRP #BitcoinCash #Tether #Litecoin\xe2\x80\xa6 https://t.co/V7sS9zVfLb',CryptoCotizaci xc3 x3n n xf0 x9f x93 xa3 Precios actualizados a las 14 00 45 n Bitcoin Ethereum XRP BitcoinCash Tether Litecoin xe2 x80 xa6
2019-11-17T13:01:00.000Z,b'Fair Go Casino - New $20 Free Chip Coupon for Depositors Past 2 Days or $5 Free Chip Sign Up Bonus\xe2\x80\xa6 https://t.co/P5EdxPtNGB',Fair Go Casino New 20 Free Chip Coupon for Depositors Past 2 Days or 5 Free Chip Sign Up Bonus xe2 x80 xa6
2019-11-17T13:01:00.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 16:00:57\\n#Bitcoin: $8,617.962\\n#Ethereum: $185.944\\n#XRP: $0.266\\xe2\\x80\\xa6 https://t.co/zmtreXts7X'",Top 5 cryptocurrencies n Alert Time 2019 11 17 16 00 57 n Bitcoin 8 617 962 n Ethereum 185 944 n XRP 0 266 xe2 x80 xa6
2019-11-17T13:01:01.000Z,b'#Bitcoin Wallet Reviews: What\xe2\x80\x99s the Best #HardwareWallet on the Market? Part 3: https://t.co/rJUilgmw4x',Bitcoin Wallet Reviews What xe2 x80 x99s the Best HardwareWallet on the Market Part 3
