2019-11-17T13:06:50.000Z,b'@extstock @dcs_token #Cryptocurrency #bitcoin',Cryptocurrency itcoin
2019-11-17T13:06:55.000Z,b'@APompliano @polina_marinova Congratulations bud \xf0\x9f\x91\x8d\n\nThe world needs more love (and #Bitcoin)',Congratulations ud xf0 x9f x91 x8d n nThe world needs more love and Bitcoin
2019-11-17T13:07:02.000Z,"b'#Bitcoin ATMs Worldwide Hit New Milestone, Surpassing 6,000  https://t.co/dfhDbChY7p'",Bitcoin ATMs Worldwide Hit New Milestone Surpassing 6 000
2019-11-17T13:07:06.000Z,b'I have a strange feeling about $BTC... the next pump will be hard because we will break the downtrend since #ATH\n\n.\xe2\x80\xa6 https://t.co/BTXNMdgsQY',I have a strange feeling aout BTC the next pump will e hard ecause we will reak the downtrend since ATH n n xe2 x80 xa6
2019-11-17T13:07:38.000Z,b'@ssjxbt pointed out a stat to me. We have only 2 instances in the last 4 years where #Bitcoin has 4 red weeks in a\xe2\x80\xa6 https://t.co/HORQ4ckYzU',pointed out a stat to me We have only 2 instances in the last 4 years where Bitcoin has 4 red weeks in a xe2 x80 xa6
2019-11-17T13:07:40.000Z,b'VIDEO: Transitioning from Trading Crypto to Trading Stocks\nhttps://t.co/rZXFJ0jvK6\n#Crypto #cryptocurrency\xe2\x80\xa6 https://t.co/GDHPsNnNts',VIDEO Transitioning from Trading Crypto to Trading Stocks nhttps cryptocurrency xe2 x80 xa6
2019-11-17T13:07:42.000Z,b'IRS Criminal Investigators Looking Into Bitcoin ATMs and Kiosks https://t.co/UOgq5tpW15 #Bitcoin',IRS Criminal Investigators Looking Into Bitcoin ATMs and Kiosks Bitcoin
2019-11-17T13:07:56.000Z,"b'$BTC got a good bounce in last few hours. However, it requires higher level ($8800, ideally $95xx) to make sure the\\xe2\\x80\\xa6 https://t.co/KS3oWz66Dm'",BTC got a good ounce in last few hours However it requires higher level 8800 ideally 95xx to make sure the xe2 x80 xa6
2019-11-17T13:08:03.000Z,b'Overplayed: The hardest part about #bitcoin is the technical foundation. \n\nUnderplayed: The hardest part about\xe2\x80\xa6 https://t.co/1lhdw7gDF9',Overplayed The hardest part aout itcoin is the technical foundation n nUnderplayed The hardest part aout xe2 x80 xa6
2019-11-17T13:08:15.000Z,b'Lunabit casino yepyeni slot oyunlar\xc4\xb1 sunmaya devam ediyor!  \xf0\x9f\x8e\xb0 \n\nBirbirinden e\xc4\x9flenceli ve kazand\xc4\xb1ran slot oyunlar\xc4\xb1 s\xe2\x80\xa6 https://t.co/AmY1fKDqlr',Lunait casino yepyeni slot oyunlar xc4 x1 sunmaya devam ediyor xf0 x9f x8e x0 n nBiririnden e xc4 x9flenceli ve kazand xc4 x1ran slot oyunlar xc4 x1 s xe2 x80 xa6
2019-11-17T13:08:17.000Z,b'Turkey\xe2\x80\x99s Unexpected Rise to the Top of Global #Crypto Adopters\xc2\xa0\xc2\xa0Cointelegraph https://t.co/gfIgpUprJZ #Bitcoin',Turkey xe2 x80 x99s Unexpected Rise to the Top of Gloal Crypto Adopters xc2 xa0 xc2 xa0Cointelegraph Bitcoin
2019-11-17T13:08:17.000Z,b'\xe2\x80\x98Plan A Has Failed\xe2\x80\x99 \xe2\x80\x94 Global Debt to Hit $255T or $12.1M per Bitcoin https://t.co/ldbZUGwndY\n#bitcoin #crypto\xe2\x80\xa6 https://t.co/XC1tAOXONs',xe2 x80 x98Plan A Has Failed xe2 x80 x99 xe2 x80 x94 Gloal Det to Hit 255T or 12 1M per Bitcoin crypto xe2 x80 xa6
2019-11-17T13:08:20.000Z,b'Do you support the reversing chain activity in the event of a major hack of exchange or similar entity?\xe2\x80\xa6 https://t.co/9n2PT1uJlw',Do you support the reversing chain activity in the event of a major hack of exchange or similar entity xe2 x80 xa6
2019-11-17T13:08:20.000Z,b'genesis mining \xe3\x82\xaf\xe3\x83\xbc\xe3\x83\x9d\xe3\x83\xb3\xe3\x82\xb3\xe3\x83\xbc\xe3\x83\x89:1Wksut #bitcoin #mining',genesis mining xe3 x82 xaf xe3 x83 xc xe3 x83 x9d xe3 x83 x3 xe3 x82 x3 xe3 x83 xc xe3 x83 x89 1Wksut itcoin mining
2019-11-17T13:09:00.000Z,"b'#DACX @DACX_io leverages artificial intelligence and high performance computing technology, optimized towards provi\\xe2\\x80\\xa6 https://t.co/0dxw6YKhX6'",DACX leverages artificial intelligence and high performance computing technology optimized towards provi xe2 x80 xa6
2019-11-17T13:09:06.000Z,"b'#Bitcoin ATMs Worldwide Hit New Milestone, Surpassing 6,000 #Crypto https://t.co/KULL6G2OXi via [Coin Telegraph] https://t.co/Lb1cEu9vkb'",Bitcoin ATMs Worldwide Hit New Milestone Surpassing 6 000 Crypto via Coin Telegraph
