2019-11-17T13:48:28.000Z,b'\xf0\x9f\x94\x84 Prices update in $USD (1 hour):\n\n$BTC - 8522.0 $  (-0.39 %)\n$ETH - 184.24 $  (-0.52 %)\n$XRP - 0.26 $    (-0.32 %)\xe2\x80\xa6 https://t.co/kf3HBKBDSS',xf0 x9f x94 x84 Prices update in USD 1 hour n n BTC 8522 0 0 39 n ETH 184 24 0 52 n XRP 0 26 0 32 xe2 x80 xa6
2019-11-17T13:49:01.000Z,b'Have a custom built investor list https://t.co/U6ihmAaa1P #ad #wsj #nytimes #reuters #bloomberg #forbes #nasdaq\xe2\x80\xa6 https://t.co/GMQaCOZVul',Have a custom uilt investor list ad wsj nytimes reuters loomerg fores nasdaq xe2 x80 xa6
2019-11-17T13:49:01.000Z,b'#AndrewYang Will \xe2\x80\x98Literally Give Everybody Money\xe2\x80\x99 \xe2\x80\x94 Like Onecoin Did\n\nhttps://t.co/PCphFdvnlG\n\n#btc #bitcoin',AndrewYang Will xe2 x80 x98Literally Give Everyody Money xe2 x80 x99 xe2 x80 x94 Like Onecoin Did n nhttps itcoin
2019-11-17T13:49:23.000Z,"b'#Bitcoin ATMs Worldwide Hit New Milestone, Surpassing 6,000 https://t.co/uZn6yLIY5W via @cointelegraph'",Bitcoin ATMs Worldwide Hit New Milestone Surpassing 6 000 via
2019-11-17T13:49:55.000Z,b'Ayyyye congrats to the man that\xe2\x80\x99s bringing crypto and #bitcoin to mainstream https://t.co/sxjZavNJ7C',Ayyyye congrats to the man that xe2 x80 x99s ringing crypto and itcoin to mainstream
2019-11-17T13:50:00.000Z,"b'Bitcoin May Soon Face Major Bull Movement, if History Rhymes \\xf0\\x9f\\x91\\x89 #NewsBTC #CryptocoinFactory #Bitcoin https://t.co/U1NnxLdCNf'",Bitcoin May Soon Face Major Bull Movement if History Rhymes xf0 x9f x91 x89 NewsBTC CryptocoinFactory Bitcoin
2019-11-17T13:50:03.000Z,"b'$LINK All Targets hit! 18% profit \\xf0\\x9f\\x94\\xa5\\n\\nFor Free signals,Join; https://t.co/I9jTNa8WcU\\n   \\n$BTC $ETH $XRP $LINK $LTC\\xe2\\x80\\xa6 https://t.co/sN2YlCc9zW'",LINK All Targets hit 18 profit xf0 x9f x94 xa5 n nFor Free signals Join n BTC ETH XRP LINK LTC xe2 x80 xa6
2019-11-17T13:50:07.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin\nGreat Airdrop !!!',cryptocurrency itcoin nGreat Airdrop
2019-11-17T13:50:10.000Z,"b'As of November 16, 2019 at 07:50AM, 1 ETH = 181.49 USD. \\xf0\\x9f\\x98\\x84 https://t.co/ksCOqyBwFU \\xf0\\x9f\\x98\\x8b #Investing #fire #ira #401k\\xe2\\x80\\xa6 https://t.co/8LhQMCjbFJ'",As of Novemer 16 2019 at 07 50AM 1 ETH 181 49 USD xf0 x9f x98 x84 xf0 x9f x98 x8 Investing fire ira 401k xe2 x80 xa6
2019-11-17T13:51:00.000Z,b'We made an amazing pitch last week! Now it\xe2\x80\x99s time to work harder for our goal! \xf0\x9f\x99\x8f\n#lottery #gambling #blockchain\xe2\x80\xa6 https://t.co/UZm18JBxf7',We made an amazing pitch last week Now it xe2 x80 x99s time to work harder for our goal xf0 x9f x99 x8f n lottery gamling lockchain xe2 x80 xa6
2019-11-17T13:51:06.000Z,b'Not only the big events are important\xf0\x9f\xa4\x93\xf0\x9f\x90\xbchttps://t.co/bw1bVysW1H @bitpanda @BToborg @PantosIO @TwinWinNerD\xe2\x80\xa6 https://t.co/u2x9mTF0lc',Not only the ig events are important xf0 x9f xa4 x93 xf0 x9f x90 xchttps xe2 x80 xa6
