2019-11-17T14:37:21.000Z,b'&gt;&gt;&gt;https://t.co/79AJG0JKZe&lt;&lt;&lt;\n\n#Bitcoin #cryptocurrency #CryptoNews #cryptomemes #cryptocurrencies #ETH #Coinbase\xe2\x80\xa6 https://t.co/9GKaJwchrn',gt gt gt cryptocurrency CryptoNews cryptomemes cryptocurrencies ETH Coinase xe2 x80 xa6
2019-11-17T14:37:56.000Z,b'#Bitcoin Pump Coming\n 9000 - 9500\n\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94 \xe2\x80\x94 thinking about Bitcoin',Bitcoin Pump Coming n 9000 9500 n xf0 x9f xa4 x94 xf0 x9f xa4 x94 xe2 x80 x94 thinking aout Bitcoin
2019-11-17T14:38:00.000Z,"b'$DIRV Roger Ralston, CEO &amp; Chairman announces new office opening https://t.co/Laa1suHU1d  #ad #wsj #nytimes\\xe2\\x80\\xa6 https://t.co/nerIxmaPjc'",DIRV Roger Ralston CEO amp Chairman announces new office opening ad wsj nytimes xe2 x80 xa6
2019-11-17T14:38:21.000Z,b'#DACX #IEO #cryptocurrency #blockchain #bitcoin https://t.co/3ssNUyRi3P',DACX IEO cryptocurrency lockchain itcoin
2019-11-17T14:38:26.000Z,"b'People come in #crypto for a quick profit and stay in it after understanding fundamentals. \\n\\nDuring this period, th\\xe2\\x80\\xa6 https://t.co/z2PIhevyxS'",People come in crypto for a quick profit and stay in it after understanding fundamentals n nDuring this period th xe2 x80 xa6
2019-11-17T14:38:34.000Z,b'\xc3\x96lriese legt Preisspanne fest Saudi #Aramco visiert Rekordb\xc3\xb6rsengang an #dax30  #Bitcoin #Str\xc3\xb6er \n https://t.co/4GBotWTjmV',xc3 x96lriese legt Preisspanne fest Saudi Aramco visiert Rekord xc3 x6rsengang an dax30 Bitcoin Str xc3 x6er n
2019-11-17T14:38:38.000Z,"\"b\"\"$btc #btc #bitcoin \\xc3\\x9cnl\\xc3\\xbc Mail Firmas\\xc4\\xb1",tc tc itcoin xc3 x9cnl xc3 xc Mail Firmas xc4 x1
2019-11-17T14:38:40.000Z,b'\xf0\x9f\x91\x8c\xf0\x9f\x98\x8d Tiger Drippy Zip-Up Hoodie \xf0\x9f\x98\x8d\xf0\x9f\x91\x8c\nTake 25% OFF with code WHALE25\nhttps://t.co/1e9zDMG6Un  \xf0\x9f\x91\x88\n#Bitcoin $BTC #BTC\xe2\x80\xa6 https://t.co/iG015wdn4w',xf0 x9f x91 x8c xf0 x9f x98 x8d Tiger Drippy Zip Up Hoodie xf0 x9f x98 x8d xf0 x9f x91 x8c nTake 25 OFF with code WHALE25 nhttps xf0 x9f x91 x88 n Bitcoin BTC BTC xe2 x80 xa6
2019-11-17T14:38:42.000Z,b'https://t.co/TexTXcnhzM\n\n#airdrop #bounty #Blockchain #Crypto #ether #ethereum #bitcoin #cryptocurrency #ICO #tokensale @nyleima @LoiseZena',ounty Blockchain Crypto ether ethereum itcoin cryptocurrency ICO tokensale
2019-11-17T14:38:45.000Z,"b'Bam! Finally some small waves. My buy order at $8,190 did not trigger. Dropped to $8,370 and then pumped to $8,585,\\xe2\\x80\\xa6 https://t.co/uY9hkFLCvA'",Bam Finally some small waves My uy order at 8 190 did not trigger Dropped to 8 370 and then pumped to 8 585 xe2 x80 xa6
2019-11-17T14:39:08.000Z,b'Bet on #Euro2020 by bitcoin! \n\nJoin https://t.co/ZSV6pMtlXl &amp; get your 5 BTC Bonus.\n\nCheck it out!\nFast Deposit/Wit\xe2\x80\xa6 https://t.co/rXgNqvb8g1',Bet on Euro2020 y itcoin n nJoin amp get your 5 BTC Bonus n nCheck it out nFast Deposit Wit xe2 x80 xa6
2019-11-17T14:39:11.000Z,b'#Investing 75.8% in this optimal #crypto portfolio and 24.2% #cash in the past 24 hours would have given you a 1.4%\xe2\x80\xa6 https://t.co/9VKJdl6sy8',Investing 75 8 in this optimal crypto portfolio and 24 2 cash in the past 24 hours would have given you a 1 4 xe2 x80 xa6
2019-11-17T14:39:33.000Z,"\"b\"\"#Bitcoin Atm'lerinde Art\\xc4\\xb1\\xc5\\x9f\\n\\nhttps://t.co/ZlPHdGHl9K https://t.co/Sdxq1IFH5l\"\"\"",Bitcoin Atm lerinde Art xc4 x1 xc5 x9f n nhttps
2019-11-17T14:39:33.000Z,b'#17Nov 09:39\nPrecio del #Bitcoin: 8582.86 USD\n#BTC $BTC https://t.co/spwow6Hu9v',17Nov 09 39 nPrecio del Bitcoin 8582 86 USD n BTC BTC
2019-11-17T14:39:39.000Z,b'Litecoin [LTC/USD] Shows Bullish Signals as Pair Grows by 2.2% in a Day - https://t.co/EMZpW5WIl2 $BTC $LTC\xe2\x80\xa6 https://t.co/fD2yCpL1UZ',Litecoin LTC USD Shows Bullish Signals as Pair Grows y 2 2 in a Day BTC LTC xe2 x80 xa6
2019-11-17T14:40:00.000Z,b'Tether to File Motion With NYAG to Dismiss Class Action Lawsuit \xf0\x9f\x91\x89 #CoinDesk #CryptocoinFactory #Bitcoin https://t.co/1KyOwRMwD5',Tether to File Motion With NYAG to Dismiss Class Action Lawsuit xf0 x9f x91 x89 CoinDesk CryptocoinFactory Bitcoin
2019-11-17T14:40:02.000Z,b'MercadoBitcoin(BTC) =&gt; R$36399 | BlockChain(BTC) =&gt; R$35757 | MercadoBitcoin(LTC) =&gt; R$254 #bitcoin #litecoin',MercadoBitcoin BTC gt R 36399 BlockChain BTC gt R 35757 MercadoBitcoin LTC gt R 254 itcoin litecoin
2019-11-17T14:40:03.000Z,b'4 LONG-TERM #BITCOIN SCENARIOS | #BTC Price Could Soon Pump Another 20 Percent https://t.co/GpUUSrLeqn',4 LONG TERM BITCOIN SCENARIOS BTC Price Could Soon Pump Another 20 Percent
2019-11-17T14:40:03.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 17:40:02\\n#Bitcoin: $8,581.706\\n#Ethereum: $185.107\\n#XRP: $0.265\\xe2\\x80\\xa6 https://t.co/BjR6yP54SI'",Top 5 cryptocurrencies n Alert Time 2019 11 17 17 40 02 n Bitcoin 8 581 706 n Ethereum 185 107 n XRP 0 265 xe2 x80 xa6
2019-11-17T14:40:40.000Z,b'@BillyBambrough @ForbesCrypto @Google #BoughtXRP \n\nThrowback Wednesday: @Google backed @Ripple $XRP raises $55M fro\xe2\x80\xa6 https://t.co/8julf2znc9',BoughtXRP n nThrowack Wednesday acked XRP raises 55M fro xe2 x80 xa6
2019-11-17T14:40:45.000Z,b'#crypto mkt cap last hour\n\n\xf0\x9f\x9a\x80\n$CRO +11.956m\n$VET +3.978m\n$RLC +2.475m\n\n\xf0\x9f\x8c\xa7\xef\xb8\x8f\n$BTC -311.645m\n$ETH -46.146m\n$XRP -17.880m\xe2\x80\xa6 https://t.co/QW4rtQh0AV',crypto mkt cap last hour n n xf0 x9f x9a x80 n CRO 11 956m n VET 3 978m n RLC 2 475m n n xf0 x9f x8c xa7 xef x8 x8f n BTC 311 645m n ETH 46 146m n XRP 17 880m xe2 x80 xa6
