2019-11-17T14:55:50.000Z,b'#DACX #IEO #cryptocurrency #blockchain #bitcoin https://t.co/WBHnYu6U4n',DACX IEO cryptocurrency lockchain itcoin
2019-11-17T14:56:00.000Z,b'Dear stranger to you Salvation to me\n#BTC #Bitcoin #Cryptocurrency #Crypto #BNB\n\xe2\x86\x93BTC address\n1AcnZqfZWPqK8PcpfXxTTP\xe2\x80\xa6 https://t.co/kA6nZEpSzi',Dear stranger to you Salvation to me n BTC Bitcoin Cryptocurrency Crypto BNB n xe2 x86 x93BTC address n1AcnZqfZWPqK8PcpfXxTTP xe2 x80 xa6
2019-11-17T14:56:00.000Z,"b'This project includes a number of best things: great team, great product, great idea, great start! We need products\\xe2\\x80\\xa6 https://t.co/sDX43ez3iJ'",This project includes a numer of est things great team great product great idea great start We need products xe2 x80 xa6
2019-11-17T14:56:03.000Z,"b'BitMEX Daily Volume Hits 2019 Low, \\xe2\\x80\\x98Market Officially Lifeless\\xe2\\x80\\x99 https://t.co/4vp3HdGaUl #bitcoin https://t.co/0QA24br0sk'",BitMEX Daily Volume Hits 2019 Low xe2 x80 x98Market Officially Lifeless xe2 x80 x99 itcoin
2019-11-17T14:56:05.000Z,b'#DACX #IEO #cryptocurrency #blockchain #bitcoin https://t.co/r5bxUkNtof',DACX IEO cryptocurrency lockchain itcoin
2019-11-17T14:56:17.000Z,b'Free 300 GH Cloud Mining at Gominer Instant Witdraw https://t.co/tydFPvc8dC #gominer #hashflare #genesismining #bitcoin',Free 300 GH Cloud Mining at Gominer Instant Witdraw gominer hashflare genesismining itcoin
2019-11-17T14:56:29.000Z,"\"b\"\"Nice find on Gresham's Law and Bitcoin.  True value is determined by the marketplace.  #bitcoin $BTC https://t.co/d72YkgWd6R\"\"\"",Nice find on Gresham s Law and Bitcoin True value is determined y the marketplace itcoin BTC
2019-11-17T14:56:34.000Z,b'@bot_crypto @CryptoNewsPlus @LB_whiteshark #RSR and #Bitcoin',RSR and Bitcoin
2019-11-17T14:56:35.000Z,"b'Caught an A grade play on #bitcoin $BTCUSD heavy clearout. Had alerts set all under major support on phone app, too\\xe2\\x80\\xa6 https://t.co/dRmdTu4FF9'",Caught an A grade play on itcoin BTCUSD heavy clearout Had alerts set all under major support on phone app too xe2 x80 xa6
2019-11-17T14:57:07.000Z,b'#CoinFestUK 2020 featuring: \n\xf0\x9f\x8e\xa4A broad line-up of speakers\n\xf0\x9f\x8e\x93A range of workshops\n\xf0\x9f\x8e\x89After party &amp; #Bitcoin Beer Party\xe2\x80\xa6 https://t.co/GKbpV2ygvZ',CoinFestUK 2020 featuring n xf0 x9f x8e xa4A road line up of speakers n xf0 x9f x8e x93A range of workshops n xf0 x9f x8e x89After party amp Bitcoin Beer Party xe2 x80 xa6
2019-11-17T14:57:13.000Z,"\"b\"\"The one that shall not be named.\\n it's clearly going to be #bitcoin which other crypto is able to replace #swift &amp;\\xe2\\x80\\xa6 https://t.co/4SSj6556SL\"\"\"",The one that shall not e named n it s clearly going to e itcoin which other crypto is ale to replace swift amp xe2 x80 xa6
2019-11-17T14:57:46.000Z,b'8therbank Launches In Only 3 Hours! Earn Massive $ETH Dividends On A Stable Coin Via Smart Contract Without The Fea\xe2\x80\xa6 https://t.co/8doS9QWGZN',8therank Launches In Only 3 Hours Earn Massive ETH Dividends On A Stale Coin Via Smart Contract Without The Fea xe2 x80 xa6
2019-11-17T14:57:51.000Z,b'\xf0\x9f\x93\x88 $BCH $USDT / 4H / Binance \n\xf0\x9f\x94\xbb Sell signal @ 285.62\n\xf0\x9f\x92\xb0 Profit: 8.60%\n\xe2\x8f\xb0 Period: 1 day 20 hours\n#crypto #trading\xe2\x80\xa6 https://t.co/iqgacQWLt9',xf0 x9f x93 x88 BCH USDT 4H Binance n xf0 x9f x94 x Sell signal 285 62 n xf0 x9f x92 x0 Profit 8 60 n xe2 x8f x0 Period 1 day 20 hours n crypto trading xe2 x80 xa6
2019-11-17T14:57:53.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin',cryptocurrency itcoin
2019-11-17T14:58:15.000Z,b'@bot_crypto @CryptoNewsPlus @astropark_btc @LB_whiteshark #btc #bitcoin\xf0\x9f\x98\x8e\xf0\x9f\x98\x8e\xf0\x9f\x98\x8e',tc itcoin xf0 x9f x98 x8e xf0 x9f x98 x8e xf0 x9f x98 x8e
2019-11-17T14:58:32.000Z,"\"b\"\"Currency vs money\\n\\nMaybe it's the difference between these two concepts\\n\\nthat explains why deflationary cryptos nee\\xe2\\x80\\xa6 https://t.co/CMiJs8gaWm\"\"\"",Currency vs money n nMaye it s the difference etween these two concepts n nthat explains why deflationary cryptos nee xe2 x80 xa6
2019-11-17T14:59:02.000Z,b'@bot_crypto @CryptoNewsPlus @astropark_btc @LB_whiteshark #btc #BITCOIN',tc BITCOIN
2019-11-17T14:59:30.000Z,b'Nice games from your Sir @AkpanG6. You a real Man. Living up to your words and Promises in making us win from your\xe2\x80\xa6 https://t.co/ESUENaWTtm',Nice games from your Sir You a real Man Living up to your words and Promises in making us win from your xe2 x80 xa6
2019-11-17T14:59:49.000Z,b'If BTC its a bubble where is the other markets? \xf0\x9f\xa4\x94 \n#BTC #Bitcoin #cryptocurrency #Cryptos #decentralized https://t.co/jEMBzrgTj7',If BTC its a ule where is the other markets xf0 x9f xa4 x94 n BTC Bitcoin cryptocurrency Cryptos decentralized
2019-11-17T15:00:01.000Z,"b'#HourlyCryptoStatus (#1 to #3):\\n\\n#1 #btc (#bitcoin): 8,528.54 USD | 0.44% 24h\\n\\n#2 #eth (#ethereum): 184.15 USD | 0.\\xe2\\x80\\xa6 https://t.co/q7yGLjA8ve'",HourlyCryptoStatus 1 to 3 n n 1 tc itcoin 8 528 54 USD 0 44 24h n n 2 eth ethereum 184 15 USD 0 xe2 x80 xa6
2019-11-17T15:00:02.000Z,b'\xf0\x9f\x93\x88 #Bitcoin (#BTC $BTC) global volume weighted average is currently $8525.682 | 0.45% change over 24hrs.  #crypto\xe2\x80\xa6 https://t.co/zt7twCTD78',xf0 x9f x93 x88 Bitcoin BTC BTC gloal volume weighted average is currently 8525 682 0 45 change over 24hrs crypto xe2 x80 xa6
2019-11-17T15:00:02.000Z,"b'Bitcoin: $8,522.67\\n +0.34% (+$28.64)\\nHigh: $8,585.12\\nLow: $8,372.71\\nVolume: 47\\n\\n$BTC #BTC #bitcoin'",Bitcoin 8 522 67 n 0 34 28 64 nHigh 8 585 12 nLow 8 372 71 nVolume 47 n n BTC BTC itcoin
2019-11-17T15:00:02.000Z,"b'11/18 00:00\\xe7\\x8f\\xbe\\xe5\\x9c\\xa8\\n\\n#Bitcoin : 927,300\\xe5\\x86\\x86\\xe2\\x86\\x93\\n#NEM #XEM : 4.56\\xe5\\x86\\x86\\xe2\\x86\\x93\\n#Monacoin : 115.6\\xe5\\x86\\x86\\xe2\\x86\\x91\\n#Ethereum : 20,000\\xe5\\x86\\x86\\xe2\\x86\\x92\\n#Zaif : 0.1511\\xe5\\x86\\x86\\xe2\\x86\\x93'",11 18 00 00 xe7 x8f xe xe5 x9c xa8 n n Bitcoin 927 300 xe5 x86 x86 xe2 x86 x93 n NEM XEM 4 56 xe5 x86 x86 xe2 x86 x93 n Monacoin 115 6 xe5 x86 x86 xe2 x86 x91 n Ethereum 20 000 xe5 x86 x86 xe2 x86 x92 n Zaif 0 1511 xe5 x86 x86 xe2 x86 x93
2019-11-17T15:00:02.000Z,"\"b\"\"The Bitcoin $BTC price is currently 8584.88 $USD or 7768.21 $EUR.\\nIt's the number #1 cryptocurrency on the Earth wi\\xe2\\x80\\xa6 https://t.co/7313nUqhwH\"\"\"",The Bitcoin BTC price is currently 8584 88 USD or 7768 21 EUR nIt s the numer 1 cryptocurrency on the Earth wi xe2 x80 xa6
2019-11-17T15:00:03.000Z,"b'\\xe2\\x8f\\xb0 18:00\\n\\xe2\\x82\\xbf Bitcoin = 8.474,5763 $\\n#bitcoin #btc #BTCUSD'",xe2 x8f x0 18 00 n xe2 x82 xf Bitcoin 8 474 5763 n itcoin tc BTCUSD
2019-11-17T15:00:03.000Z,b'MercadoBitcoin(BTC) =&gt; R$36399 | BlockChain(BTC) =&gt; R$35756 | MercadoBitcoin(LTC) =&gt; R$254 #bitcoin #litecoin',MercadoBitcoin BTC gt R 36399 BlockChain BTC gt R 35756 MercadoBitcoin LTC gt R 254 itcoin litecoin
2019-11-17T15:00:04.000Z,b'2019/11/18 00:00\n\nBTC 927874\xe5\x86\x86\nETH 20045.9\xe5\x86\x86\nETC 504.5\xe5\x86\x86\nBCH 29049.9\xe5\x86\x86\nXRP 28.6\xe5\x86\x86\nXEM 4.5\xe5\x86\x86\nLSK 85.4\xe5\x86\x86\nMONA 114.9\xe5\x86\x86\n\n#\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\xe2\x80\xa6 https://t.co/1YMBR0ajEK',2019 11 18 00 00 n nBTC 927874 xe5 x86 x86 nETH 20045 9 xe5 x86 x86 nETC 504 5 xe5 x86 x86 nBCH 29049 9 xe5 x86 x86 nXRP 28 6 xe5 x86 x86 nXEM 4 5 xe5 x86 x86 nLSK 85 4 xe5 x86 x86 nMONA 114 9 xe5 x86 x86 n n xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 xe2 x80 xa6
2019-11-17T15:00:04.000Z,b'Racing 92 vs Saracens. #bitcoin #betting - https://t.co/LF3eXebRw2',Racing 92 vs Saracens itcoin etting
2019-11-17T15:00:05.000Z,b'One Bitcoin now worth $8525.86@bitstamp. High $8589.100. Low $8375.000. Market Cap $153.905 Billion #bitcoin https://t.co/Ee0CwKU2iQ',One Bitcoin now worth 8525 86 High 8589 100 Low 8375 000 Market Cap 153 905 Billion itcoin
2019-11-17T15:00:05.000Z,b'One Bitcoin now worth $8534.315. Market Cap $154.067 Billion. Based on #coindesk BPI #bitcoin',One Bitcoin now worth 8534 315 Market Cap 154 067 Billion Based on coindesk BPI itcoin
2019-11-17T15:00:07.000Z,b'TOP-12 most-mentioned #crypto this hour:\n1. #bitcoin\n2. #ethereum\n3. #xrp\n4. #litecoin\n5. #waves\n6. #nem\n7. #ardor\xe2\x80\xa6 https://t.co/SAEclGdEDG',TOP 12 most mentioned crypto this hour n1 itcoin n2 ethereum n3 xrp n4 litecoin n5 waves n6 nem n7 ardor xe2 x80 xa6
2019-11-17T15:00:08.000Z,b'https://t.co/PDmZeQ2dns Processed $759 Million in Trades During its First 50 Days https://t.co/VCKfOeEdDn\xe2\x80\xa6 https://t.co/1Uq6K8uW7X',Processed 759 Million in Trades During its First 50 Days
2019-11-17T15:00:08.000Z,b'A new post: \xe2\x80\x98Plan A Has Failed\xe2\x80\x99 \xe2\x80\x94 Global Debt to Hit $255T or $12.1M per Bitcoin is added on\xe2\x80\xa6 https://t.co/wc2tIKqhDt',A new post xe2 x80 x98Plan A Has Failed xe2 x80 x99 xe2 x80 x94 Gloal Det to Hit 255T or 12 1M per Bitcoin is added on xe2 x80 xa6
2019-11-17T15:00:08.000Z,"b'#BTC: \\xe2\\x82\\xba49.023,00\\n#ETH: \\xe2\\x82\\xba1.058,50\\n#LTC:  \\xe2\\x82\\xba341,05\\n#XRP: \\xe2\\x82\\xba1,52\\n\\n17.11.19 - 18:00\\n\\n#Bitcoin #Litecoin #Ethereum #Ripple\\xe2\\x80\\xa6 https://t.co/yV8pjnf3cH'",BTC xe2 x82 xa49 023 00 n ETH xe2 x82 xa1 058 50 n LTC xe2 x82 xa341 05 n XRP xe2 x82 xa1 52 n n17 11 19 18 00 n n Bitcoin Litecoin Ethereum Ripple xe2 x80 xa6
