2019-11-17T16:18:02.000Z,"\"b\"\"'#Blockchain Scalability: When",Blockchain Scalaility When
2019-11-17T16:18:02.000Z,b'Amazing video shows how extremely lucky we are to be alive in this universe a must watched\n\n#cryptocurrency #crypto\xe2\x80\xa6 https://t.co/NvRutSiyfg',Amazing video shows how extremely lucky we are to e alive in this universe a must watched n n cryptocurrency crypto xe2 x80 xa6
2019-11-17T16:18:16.000Z,b'Grande Hudson \nParab\xc3\xa9ns pelo evento\n\n#Dash #DashNation $Dash #DashPay #RodrigoDigital  #DashDinheiroDigital #Bitcoin https://t.co/1LD6JXn3u3',Grande Hudson nPara xc3 xa9ns pelo evento n n Dash DashNation Dash DashPay RodrigoDigital DashDinheiroDigital Bitcoin
2019-11-17T16:18:19.000Z,b'#ff #followfriday #followback #giveaway #contest #win #competition #crypto #ico #bitcoin #funny #photography #pets\xe2\x80\xa6 https://t.co/FMvzaBRhyq',ff followfriday followack giveaway contest win competition crypto ico itcoin funny photography pets xe2 x80 xa6
2019-11-17T16:18:33.000Z,b'$ETH #Ethereum looking quiet bearish here. if $BTC picks up steam i could see this being invalidated. These are the\xe2\x80\xa6 https://t.co/ciHYqdKSCi',ETH Ethereum looking quiet earish here if BTC picks up steam i could see this eing invalidated These are the xe2 x80 xa6
2019-11-17T16:18:45.000Z,b'Really conflicted rn whether to be done with Nov buying or wait for &lt;7k which is highly unlikely but peeps think th\xe2\x80\xa6 https://t.co/IAxgf4Khme',Really conflicted rn whether to e done with Nov uying or wait for lt 7k which is highly unlikely ut peeps think th xe2 x80 xa6
2019-11-17T16:18:57.000Z,"\"b\"\"I wasn't aware that @CommerceCB had a Point of Sale. \\n\\nI had played with the Commerce widgets but this is pretty sl\\xe2\\x80\\xa6 https://t.co/VBBEgjoFAX\"\"\"",I wasn t aware that had a Point of Sale n nI had played with the Commerce widgets ut this is pretty sl xe2 x80 xa6
2019-11-17T16:19:01.000Z,b'We build your network organically. https://t.co/MsU3yfcA3O #ad #wsj #nytimes #reuters #bloomberg #forbes #nasdaq\xe2\x80\xa6 https://t.co/oMeHdO7cUj',We uild your network organically ad wsj nytimes reuters loomerg fores nasdaq xe2 x80 xa6
2019-11-17T16:19:07.000Z,b'The rise of mobile phones determined the fate of landline phone booths?\n\nWill #Bitcoin repeat this with ATMs? https://t.co/T9i8uZIBKG',The rise of moile phones determined the fate of landline phone ooths n nWill Bitcoin repeat this with ATMs
2019-11-17T16:19:07.000Z,b'Digital Retail Solutions: The 10 Trends That Will Mark 2019... https://t.co/RoOq2qVUTG reTweet please\xe2\x80\xa6 https://t.co/XppstRJNYD',Digital Retail Solutions The 10 Trends That Will Mark 2019 reTweet please xe2 x80 xa6
2019-11-17T16:19:19.000Z,b'https://t.co/3YohX3CRYq.    #SundayMorning #bitcoin #FreeHongKong #earnings  #makemoneyonline https://t.co/6LRvQl1NDe',SundayMorning itcoin FreeHongKong earnings makemoneyonline
