2019-11-17T18:21:08.000Z,b'Serbest #Piyasa\n\nTarih: 16.11.2019 23:59:58\nDolar: \xe2\x82\xba5.7449\nEuro: \xe2\x82\xba6.3531\n24 Ayar Gram: \xe2\x82\xba270.97\n22 Ayar Gram: \xe2\x82\xba247.1\xe2\x80\xa6 https://t.co/m61IBYMG41',Serest Piyasa n nTarih 16 11 2019 23 59 58 nDolar xe2 x82 xa5 7449 nEuro xe2 x82 xa6 3531 n24 Ayar Gram xe2 x82 xa270 97 n22 Ayar Gram xe2 x82 xa247 1 xe2 x80 xa6
2019-11-17T18:21:14.000Z,b'Visit the official shop store https://t.co/Exb8zqqpKV of educacion financiera and #criptomonedas #bitcoin\xe2\x80\xa6 https://t.co/keMAp3mt8U',Visit the official shop store of educacion financiera and criptomonedas itcoin xe2 x80 xa6
2019-11-17T18:21:24.000Z,"b'(New Short \\xf0\\x9f\\x8e\\xa5Video) BTC House Of Cards (Comic Version)\\n\\xf0\\x9f\\x98\\x80 Sunday Funday, Caption the guy at the end of the clip\\xe2\\x80\\xa6 https://t.co/YnzCugbnCS'",New Short xf0 x9f x8e xa5Video BTC House Of Cards Comic Version n xf0 x9f x98 x80 Sunday Funday Caption the guy at the end of the clip xe2 x80 xa6
2019-11-17T18:21:30.000Z,b'$btc is slowly but surely climbing up. Is this going to result in another drop? or has $btc found a way out of its\xe2\x80\xa6 https://t.co/ooMSAntYBq',tc is slowly ut surely climing up Is this going to result in another drop or has tc found a way out of its xe2 x80 xa6
2019-11-17T18:21:36.000Z,b'Python &amp; Cryptocurrency: Build 5 Real World Applications\n\n\xe2\x98\x9e https://t.co/wyWwIIWaBj\n\n#bitcoin #cryptocurrency https://t.co/lPCS2CdJmz',Python amp Cryptocurrency Build 5 Real World Applications n n xe2 x98 x9e cryptocurrency
2019-11-17T18:21:37.000Z,"b'Huidige #bitcoin waarde \\xe2\\x82\\xac 2253,54, winkel online via https://t.co/sXRVzVEvM3 en verdien ze helemaal gratis'",Huidige itcoin waarde xe2 x82 xac 2253 54 winkel online via en verdien ze helemaal gratis
2019-11-17T18:22:08.000Z,"\"b\"\"There is no CEO. That's the point.\\n\\n\\xf0\\x9f\\x91\\x89 https://t.co/KrpY5l5IcH \\xf0\\x9f\\x91\\x80\\n\\nClick now to Join the Elixium Trading Group \\xe2\\x9c\\x85\\xe2\\x80\\xa6 https://t.co/m2S4wnbt8q\"\"\"",There is no CEO That s the point n n xf0 x9f x91 x89 xf0 x9f x91 x80 n nClick now to Join the Elixium Trading Group xe2 x9c x85 xe2 x80 xa6
2019-11-17T18:22:09.000Z,"b'Ten years in, and crypto is still largely unregulated and uncontrolled in many parts of the world. \\n\\nCrypto Trading\\xe2\\x80\\xa6 https://t.co/9eSyoOSS43'",Ten years in and crypto is still largely unregulated and uncontrolled in many parts of the world n nCrypto Trading xe2 x80 xa6
2019-11-17T18:22:22.000Z,b'How do I use #DeFi to short #Bitcoin dominance? \n\nNot only will #Ethereum take massive amounts of market share in t\xe2\x80\xa6 https://t.co/9l0LjyjP4R',How do I use DeFi to short Bitcoin dominance n nNot only will Ethereum take massive amounts of market share in t xe2 x80 xa6
2019-11-17T18:22:40.000Z,b'#bitcoin $btc #bitcoinnews #bitcoinnewstoday #cryptonews #cryptonewstoday #cryptocurrency #cryptocurrencynews\xe2\x80\xa6 https://t.co/lRCvk83ubU',itcoin tc itcoinnews itcoinnewstoday cryptonews cryptonewstoday cryptocurrency cryptocurrencynews xe2 x80 xa6
2019-11-17T18:22:41.000Z,"b'https://t.co/CsnccmHZhC\\n\\nListed  @Sedo\\n\\n#DomainNameForSale #Crypto\\n#Bitcoin &amp; #OpenBlockchain need be:\\n1) Open,\\n2)\\xe2\\x80\\xa6 https://t.co/9wmQQmHSwS'",n n DomainNameForSale Crypto n Bitcoin amp OpenBlockchain need e n1 Open n2 xe2 x80 xa6
2019-11-17T18:23:16.000Z,b'Netjes van @ProtonMail ..\n\nProtonmail Reveals It\xe2\x80\x99s Been \xe2\x80\x98HODLing\xe2\x80\x99 Its #Bitcoin Payments for Years https://t.co/0U2aZ5LqXT',Netjes van n nProtonmail Reveals It xe2 x80 x99s Been xe2 x80 x98HODLing xe2 x80 x99 Its Bitcoin Payments for Years
2019-11-17T18:23:20.000Z,b'Before the real drop I envision a few scam plans from Whalas Ponzi:\n\nA) beras trap and afterwards pamp to 8.8keks t\xe2\x80\xa6 https://t.co/RmiHiNlXh9',Before the real drop I envision a few scam plans from Whalas Ponzi n nA eras trap and afterwards pamp to 8 8keks t xe2 x80 xa6
2019-11-17T18:23:22.000Z,b'@rektcapital Crickets until $20k then FOMO madness like we\xe2\x80\x99ve never seen. Accumulate now or forever hold your peace. #Bitcoin',Crickets until 20k then FOMO madness like we xe2 x80 x99ve never seen Accumulate now or forever hold your peace Bitcoin
2019-11-17T18:23:24.000Z,b'Mornings of Bitcoin Millionaires #bitcoin : Bitcoin CRYPTO CRYPTO NEWS - https://t.co/pU7FrQVpKI',Mornings of Bitcoin Millionaires itcoin Bitcoin CRYPTO CRYPTO NEWS
