2019-11-17T18:35:09.000Z,b'@extstock @dcs_token Nice airdrop #cryptocurrency #bitcoin',Nice airdrop cryptocurrency itcoin
2019-11-17T18:35:10.000Z,b'The Hardware Bitcoin Wallet. Get Trezor now for only 89 EUR https://t.co/RyPUbEzrNS #btc #bitcoin 13 https://t.co/QBnuppSGus',The Hardware Bitcoin Wallet Get Trezor now for only 89 EUR tc itcoin 13
2019-11-17T18:35:13.000Z,"b'Seg\\xc3\\xban @CoinATMRadar ya hay 6.004 cajeros de #bitcoin instalados en todo el mundo, de los cuales m\\xc3\\xa1s del 65% se encuentran en Estados Unidos.'",Seg xc3 xan ya hay 6 004 cajeros de itcoin instalados en todo el mundo de los cuales m xc3 xa1s del 65 se encuentran en Estados Unidos
2019-11-17T18:35:20.000Z,"b'@ESAXTechnologi1 \\nA worthwhile idea, having looked all in detail it becomes clear that the company intentionally mo\\xe2\\x80\\xa6 https://t.co/hD6bREwo91'",nA worthwhile idea having looked all in detail it ecomes clear that the company intentionally mo xe2 x80 xa6
2019-11-17T18:35:21.000Z,b'#btc #bitcoin AMA - I was a major DarkNet vendor and went to FEDERAL PRISON! They nabbed me in Operation Gold Dark\xe2\x80\xa6 https://t.co/ZuCqABYejD',tc itcoin AMA I was a major DarkNet vendor and went to FEDERAL PRISON They naed me in Operation Gold Dark xe2 x80 xa6
2019-11-17T18:35:36.000Z,"b'Top-5 Cryptos This Week: NEO, LINK, ADA, BNB, LEO (Cointelegraph) \\n\\nAltcoins are defying the weakness in #Bitcoin a\\xe2\\x80\\xa6 https://t.co/feEol2pgse'",Top 5 Cryptos This Week NEO LINK ADA BNB LEO Cointelegraph n nAltcoins are defying the weakness in Bitcoin a xe2 x80 xa6
2019-11-17T18:35:49.000Z,b'Great move from 11/08 to 11/22 - Watching 11/22 then 12/05\n-\n#USDCAD $USDCAD\n-\n#Forex #BitCoin #Futures\xe2\x80\xa6 https://t.co/FmRJwP9aSG',Great move from 11 08 to 11 22 Watching 11 22 then 12 05 n n USDCAD USDCAD n n Forex BitCoin Futures xe2 x80 xa6
2019-11-17T18:35:57.000Z,"b'Have you done your holiday shopping yet? When you spend $1,250+ in Gift Cards on @Coincards (Canada) you #stacksats\\xe2\\x80\\xa6 https://t.co/ElEPN2fBWp'",Have you done your holiday shopping yet When you spend 1 250 in Gift Cards on Canada you stacksats xe2 x80 xa6
2019-11-17T18:36:17.000Z,"\"b\"\"I'm here to make a difference. How about you?  Let's make the world a better place.\\n#bitcoin #peace #hope #love\"\"\"",I m here to make a difference How aout you Let s make the world a etter place n itcoin peace hope love
2019-11-17T18:36:19.000Z,b'El dinero FIAT es controlado por monopolios y gobiernos. #Venezuela deja ver los resultados de esa mezcla peligrosa\xe2\x80\xa6 https://t.co/xrF1DO99dE',El dinero FIAT es controlado por monopolios y goiernos Venezuela deja ver los resultados de esa mezcla peligrosa xe2 x80 xa6
2019-11-17T18:36:44.000Z,b'#Bitcoinnews #bitcoin $BSV $BTC $BCH https://t.co/C422IUL7Hq',Bitcoinnews itcoin BSV BTC BCH
2019-11-17T18:36:48.000Z,b'@p2psf @binance @ABCC_Exchange @BittrexExchange @Sistemkoin @latokens @DigiFinex @ex_markets @Bitker1 @OKEx\xe2\x80\xa6 https://t.co/w7jTE2fFt6',xe2 x80 xa6
2019-11-17T18:37:03.000Z,"b'#Bitcoin dominance is approximately 65%.\\n\\nThis is the same level as early April 2017.\\n\\nBy mid-June 2017, it had fal\\xe2\\x80\\xa6 https://t.co/LysiWTX6Wo'",Bitcoin dominance is approximately 65 n nThis is the same level as early April 2017 n nBy mid June 2017 it had fal xe2 x80 xa6
2019-11-17T18:37:15.000Z,b'Modern problems \xf0\x9f\x98\x85\n\n#Bitcoin #BTC #cryptocurrency #crypto https://t.co/hhyFsIyNax',Modern prolems xf0 x9f x98 x85 n n Bitcoin BTC cryptocurrency crypto
2019-11-17T18:37:32.000Z,b'Market Update: #Crypto Prices Improve After 3-Week Downtrend\xc2\xa0\xc2\xa0Bitcoin News https://t.co/YSQm2iZ7pE #Bitcoin',Market Update Crypto Prices Improve After 3 Week Downtrend xc2 xa0 xc2 xa0Bitcoin News Bitcoin
2019-11-17T18:37:45.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin',cryptocurrency itcoin
2019-11-17T18:38:37.000Z,b'\xf0\x9f\x93\xa2 Excited about #buying / #selling digital #content using #Bitcoin? \nCheck out https://t.co/zzymAQu0GX powered by\xe2\x80\xa6 https://t.co/qlJUud05b5',xf0 x9f x93 xa2 Excited aout uying selling digital content using Bitcoin nCheck out powered y xe2 x80 xa6
2019-11-17T18:38:41.000Z,b'$BSV $BTC #bitcoin #Bitcoinnews #SatoshiNakamoto \xf0\x9f\x90\x89\xf0\x9f\x8e\x83 https://t.co/IbO4m21tSP',BSV BTC itcoin Bitcoinnews SatoshiNakamoto xf0 x9f x90 x89 xf0 x9f x8e x83
2019-11-17T18:39:06.000Z,"b'No matter how small or large your #payment is, we have got a solution for you! For #digital content #sales or purch\\xe2\\x80\\xa6 https://t.co/nXuisa6iCM'",No matter how small or large your payment is we have got a solution for you For digital content sales or purch xe2 x80 xa6
2019-11-17T18:39:17.000Z,"b'Blockchain technology is still going strong. Had a great time at the DAS: Markets, the leading institutional confer\\xe2\\x80\\xa6 https://t.co/mrPmL5QGln'",Blockchain technology is still going strong Had a great time at the DAS Markets the leading institutional confer xe2 x80 xa6
2019-11-17T18:39:21.000Z,"b'2019/11/18 03:39:20\\r[ bitFlyer ] \\r\\xe3\\x83\\x93\\xe3\\x83\\x83\\xe3\\x83\\x88\\xe3\\x82\\xb3\\xe3\\x82\\xa4\\xe3\\x83\\xb3[BTC/JPY]\\xef\\xbc\\x9a929,202\\xe5\\x86\\x86\\r\\xe3\\x82\\xa4\\xe3\\x83\\xbc\\xe3\\x82\\xb5\\xe3\\x83\\xaa\\xe3\\x82\\xa2\\xe3\\x83\\xa0[ETH/JPY]\\xef\\xbc\\x9a20,117\\xe5\\x86\\x86\\r\\r[ Zaif ] \\r\\xe3\\x83\\x8d\\xe3\\x83\\xa0[XEM/JPY]\\xef\\xbc\\x9a\\xe3\\x80\\x80\\xe3\\x80\\x804.575\\xe5\\x86\\x86\\xe2\\x80\\xa6 https://t.co/sQvacZqe74'",2019 11 18 03 39 20 r itFlyer r xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 BTC JPY xef xc x9a929 202 xe5 x86 x86 r xe3 x82 xa4 xe3 x83 xc xe3 x82 x5 xe3 x83 xaa xe3 x82 xa2 xe3 x83 xa0 ETH JPY xef xc x9a20 117 xe5 x86 x86 r r Zaif r xe3 x83 x8d xe3 x83 xa0 XEM JPY xef xc x9a xe3 x80 x80 xe3 x80 x804 575 xe5 x86 x86 xe2 x80 xa6
2019-11-17T18:39:29.000Z,b'ProtonMail has no Intention of Converting #Bitcoin Payments to Fiat (The Merkle) \n\nNumerous companies have accepted\xe2\x80\xa6 https://t.co/9QGh0kXzoo',ProtonMail has no Intention of Converting Bitcoin Payments to Fiat The Merkle n nNumerous companies have accepted xe2 x80 xa6
2019-11-17T18:39:32.000Z,b'\xf0\x9f\x93\xa2 With https://t.co/zzymAQu0GX you can #publish &amp; #promote your #digital #content through the channel of your choic\xe2\x80\xa6 https://t.co/aS5hP8JYQN',xf0 x9f x93 xa2 With you can pulish amp promote your digital content through the channel of your choic xe2 x80 xa6
2019-11-17T18:39:57.000Z,b'#ICXBTC daily chart. \n\nPotential reversal of a triangle pattern with a small round bottom on the vortex after bear\xe2\x80\xa6 https://t.co/nVcCjfqMYx',ICXBTC daily chart n nPotential reversal of a triangle pattern with a small round ottom on the vortex after ear xe2 x80 xa6
2019-11-17T18:40:01.000Z,b'MercadoBitcoin(BTC) =&gt; R$36399 | BlockChain(BTC) =&gt; R$35828 | MercadoBitcoin(LTC) =&gt; R$254 #bitcoin #litecoin',MercadoBitcoin BTC gt R 36399 BlockChain BTC gt R 35828 MercadoBitcoin LTC gt R 254 itcoin litecoin
2019-11-17T18:40:02.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 21:40:02\\n#Bitcoin: $8,612.917\\n#Ethereum: $186.379\\n#XRP: $0.268\\xe2\\x80\\xa6 https://t.co/DEGZUCp53b'",Top 5 cryptocurrencies n Alert Time 2019 11 17 21 40 02 n Bitcoin 8 612 917 n Ethereum 186 379 n XRP 0 268 xe2 x80 xa6
2019-11-17T18:40:03.000Z,"\"b\"\"#WCPT2019 at Mike Tyson's old mansion #Poker stars @TheScottyNguyen @LaceyJones @dwpoker joined #crypto celebs\\xe2\\x80\\xa6 https://t.co/tBWt65bWyV\"\"\"",WCPT2019 at Mike Tyson s old mansion Poker stars joined crypto celes xe2 x80 xa6
2019-11-17T18:40:17.000Z,"b'Quien no conoce a #Bitcoin, en cualquier \\xf0\\x9f\\x92\\xa9\\xf0\\x9f\\x92\\xa9coin confia.'",Quien no conoce a Bitcoin en cualquier xf0 x9f x92 xa9 xf0 x9f x92 xa9coin confia
2019-11-17T18:40:45.000Z,b'#crypto mkt cap last hour\n\n\xf0\x9f\x9a\x80\n$MKR +4.787m\n$KMD +1.356m\n$DCR +443.041k\n\n\xf0\x9f\x8c\xa7\xef\xb8\x8f\n$BTC -715.289m\n$ETH -44.194m\n$EOS -18.435\xe2\x80\xa6 https://t.co/4SX908w0Gc',crypto mkt cap last hour n n xf0 x9f x9a x80 n MKR 4 787m n KMD 1 356m n DCR 443 041k n n xf0 x9f x8c xa7 xef x8 x8f n BTC 715 289m n ETH 44 194m n EOS 18 435 xe2 x80 xa6
2019-11-17T18:40:48.000Z,b'#17Nov 13:40\nPrecio del #Bitcoin: 8612.92 USD\n#BTC $BTC https://t.co/IfeXokv7bA',17Nov 13 40 nPrecio del Bitcoin 8612 92 USD n BTC BTC
2019-11-17T18:40:52.000Z,b'Nothing new in bitcoin world. Weekly is stuck between TK lines and daily is in cloud. #crypto #currencies #bitcoin\xe2\x80\xa6 https://t.co/Inj4JA21o2',Nothing new in itcoin world Weekly is stuck etween TK lines and daily is in cloud crypto currencies itcoin xe2 x80 xa6
2019-11-17T18:40:52.000Z,b'Alibaba denies working with #bitcoin\nhttps://t.co/eD37N5nLVI',Aliaa denies working with itcoin
2019-11-17T18:40:53.000Z,b'Free 300 GH Cloud Mining at Gominer Instant Witdraw https://t.co/zb91VwVKV0 #gominer #hashflare #genesismining #bitcoin',Free 300 GH Cloud Mining at Gominer Instant Witdraw gominer hashflare genesismining itcoin
2019-11-17T18:41:00.000Z,b'Kudos Casino - $25 Free Chip November Exclusive &amp; $250 Private Freeroll Password https://t.co/MgSiLqIVf5  #Crypto\xe2\x80\xa6 https://t.co/jRQQVJDHBm',Kudos Casino 25 Free Chip Novemer Exclusive amp 250 Private Freeroll Password Crypto xe2 x80 xa6
2019-11-17T18:41:01.000Z,b'$OWCP Announces Exclusive Agreement with Large Indigenous Cooperative in Colombia https://t.co/7bD261VZvu #ad #wsj\xe2\x80\xa6 https://t.co/cTzQHtN2ap',OWCP Announces Exclusive Agreement with Large Indigenous Cooperative in Colomia ad wsj xe2 x80 xa6
2019-11-17T18:41:23.000Z,b'Watching 11/18 and 12/03\n-\n#USDJPY $USDJPY\n-\n#Forex #BitCoin #Futures #Commodities #Markets #Trading\xe2\x80\xa6 https://t.co/ABbDQTuGKr',Watching 11 18 and 12 03 n n USDJPY USDJPY n n Forex BitCoin Futures Commodities Markets Trading xe2 x80 xa6
2019-11-17T18:41:30.000Z,"\"b\"\"There is so much to talk about this week that we can't even fit it in this excerpt! Check out what's new with Divi\\xe2\\x80\\xa6 https://t.co/h7oFIRID6k\"\"\"",There is so much to talk aout this week that we can t even fit it in this excerpt Check out what s new with Divi xe2 x80 xa6
2019-11-17T18:41:34.000Z,b'#thebamboo #agriculture #ICO #Crowdsale #Bitcoin #Blockchain #Token #ETH #Ethereum #TokenSale\nThis is a great oppor\xe2\x80\xa6 https://t.co/J1pzHyXbCG',theamoo agriculture ICO Crowdsale Bitcoin Blockchain Token ETH Ethereum TokenSale nThis is a great oppor xe2 x80 xa6
2019-11-17T18:41:51.000Z,"\"b\"\"'#Bitcoin will do to banks what email did to the postal industry' \\xe2\\x80\\x93 Rick Falkvinge\\n#Investment #BTC #Crypto\\xf0\\x9f\\xa4\\x91\"\"\"",Bitcoin will do to anks what email did to the postal industry xe2 x80 x93 Rick Falkvinge n Investment BTC Crypto xf0 x9f xa4 x91
2019-11-17T18:41:51.000Z,"b'Perhaps Google Will Kill Bitcoin, After All https://t.co/ewf0vIFOPO by @billybambrough #bitcoin'",Perhaps Google Will Kill Bitcoin After All y itcoin
