2019-11-17T20:00:05.000Z,b'2019/11/18 05:00\n\nBTC 931566.5\xe5\x86\x86\nETH 20156.6\xe5\x86\x86\nETC 504.8\xe5\x86\x86\nBCH 29305.4\xe5\x86\x86\nXRP 28.8\xe5\x86\x86\nXEM 4.5\xe5\x86\x86\nLSK 85.7\xe5\x86\x86\nMONA 115.5\xe5\x86\x86\xe2\x80\xa6 https://t.co/xl9fpn3pxu',2019 11 18 05 00 n nBTC 931566 5 xe5 x86 x86 nETH 20156 6 xe5 x86 x86 nETC 504 8 xe5 x86 x86 nBCH 29305 4 xe5 x86 x86 nXRP 28 8 xe5 x86 x86 nXEM 4 5 xe5 x86 x86 nLSK 85 7 xe5 x86 x86 nMONA 115 5 xe5 x86 x86 xe2 x80 xa6
2019-11-17T20:00:05.000Z,b'Crypto Platform Celsius Network Reaches $4.25 Billion in Total Loans\n\nRead More: https://t.co/uBum7KZavm\n\n#Crypto\xe2\x80\xa6 https://t.co/Ax2WQbCwwM',Crypto Platform Celsius Network Reaches 4 25 Billion in Total Loans n nRead More
2019-11-17T20:00:06.000Z,"\"b\"\"I've just predicted the future of Bitcoin! You should too :) Use my reference code K2DNRTA to signup at\\xe2\\x80\\xa6 https://t.co/AliP49XhzP\"\"\"",I ve just predicted the future of Bitcoin You should too Use my reference code K2DNRTA to signup at xe2 x80 xa6
2019-11-17T20:00:06.000Z,b'As of today (2019-11-17) buying bitcoin has been profitable for 88.2% of all days since 2013-04-28. #bitcoin https://t.co/FEdLGAGmEl',As of today 2019 11 17 uying itcoin has een profitale for 88 2 of all days since 2013 04 28 itcoin
2019-11-17T20:00:07.000Z,b'TOP-12 most-mentioned #crypto this hour:\n1. #bitcoin\n2. #ethereum\n3. #xrp\n4. #quant\n5. #bitcoincash\n6. #litecoin\n7.\xe2\x80\xa6 https://t.co/8Noj3jvjCy',TOP 12 most mentioned crypto this hour n1 itcoin n2 ethereum n3 xrp n4 quant n5 itcoincash n6 litecoin n7 xe2 x80 xa6
2019-11-17T20:00:08.000Z,"b'#BTC: \\xe2\\x82\\xba49.122,00\\n#ETH: \\xe2\\x82\\xba1.062,88\\n#LTC:  \\xe2\\x82\\xba343,22\\n#XRP: \\xe2\\x82\\xba1,52\\n\\n17.11.19 - 23:00\\n\\n#Bitcoin #Litecoin #Ethereum #Ripple\\xe2\\x80\\xa6 https://t.co/mXFxr3LP0N'",BTC xe2 x82 xa49 122 00 n ETH xe2 x82 xa1 062 88 n LTC xe2 x82 xa343 22 n XRP xe2 x82 xa1 52 n n17 11 19 23 00 n n Bitcoin Litecoin Ethereum Ripple xe2 x80 xa6
2019-11-17T20:00:08.000Z,"b'Bitcoin Revolution Meets the Protestant Reformation, Crypto Drives Change?\\n\\nhttps://t.co/Pbi7Zzaynv\\n\\n#Bitcoin\\xe2\\x80\\xa6 https://t.co/AFGRrmEd1Z'",Bitcoin Revolution Meets the Protestant Reformation Crypto Drives Change n nhttps
2019-11-17T20:00:08.000Z,b'#bitcoin Earn FREE bitcoin with this easy strategy \xe2\x96\xb6 https://t.co/K41USsQ7H8 https://t.co/6MUTCneDG4',itcoin Earn FREE itcoin with this easy strategy xe2 x96 x6
2019-11-17T20:00:09.000Z,"b'Nov 17, 2019 19:59:00 UTC | 8,569.00$ | 7,753.80\\xe2\\x82\\xac | 6,638.80\\xc2\\xa3 | #Bitcoin #BTC $BTC #crypto #financial #news https://t.co/yA8uN0KC7h'",Nov 17 2019 19 59 00 UTC 8 569 00 7 753 80 xe2 x82 xac 6 638 80 xc2 xa3 Bitcoin BTC BTC crypto financial news
2019-11-17T20:00:13.000Z,b'#bitcoin A very easy way to earn money. Do you want to get free bitcoin? Discover the magic \xe2\x96\xb6\xe2\x80\xa6 https://t.co/ppjMEQppOH',itcoin A very easy way to earn money Do you want to get free itcoin Discover the magic xe2 x96 x6 xe2 x80 xa6
2019-11-17T20:00:13.000Z,"b'Nov 17, 2019 12:00PM #Bitcoin Price:\\nUSD 8673.08 | EUR 7706.54 | JPY 925858.04'",Nov 17 2019 12 00PM Bitcoin Price nUSD 8673 08 EUR 7706 54 JPY 925858 04
2019-11-17T20:00:19.000Z,b'Discount code for https://t.co/k52ocjK4VS the most trusted cloud mining with more than 1M members: akvTf7\xe2\x80\xa6 https://t.co/LWrG7p0O0s',Discount code for the most trusted cloud mining with more than 1M memers akvTf7 xe2 x80 xa6
2019-11-17T20:00:28.000Z,b'https://t.co/9V3G1Y02Fr\nhttps://t.co/gAHOEra0AD\n#Audible #bitcoin #cryptocurrency #iTunes https://t.co/YQTLRdGb15',itcoin cryptocurrency iTunes
2019-11-17T20:00:29.000Z,"b'BitFun is a free site where you earn bitcoin automatically, every few seconds forever. Just enter a captcha to clai\\xe2\\x80\\xa6 https://t.co/zFQ0mc6hqN'",BitFun is a free site where you earn itcoin automatically every few seconds forever Just enter a captcha to clai xe2 x80 xa6
2019-11-17T20:00:29.000Z,"\"b\"\"We are bringing the Best Bitcoin ATM with amazing price! it's time to start your Bitcoin ATM business! Visit us\\xe2\\x80\\xa6 https://t.co/tyXabVFPhX\"\"\"",We are ringing the Best Bitcoin ATM with amazing price it s time to start your Bitcoin ATM usiness Visit us xe2 x80 xa6
2019-11-17T20:00:30.000Z,b'BTC hourly update\n$8561.57    |    +0.0008%\xf0\x9f\x93\x88\n$BTC #BTCUSD #Bitcoin',BTC hourly update n 8561 57 0 0008 xf0 x9f x93 x88 n BTC BTCUSD Bitcoin
2019-11-17T20:00:40.000Z,"b'Top 5 #Cryptocurrencies by Market Capitalization \\n Time : 2019-11-17 23:00:40\\n#Bitcoin : $8,630.15 (0.03 %)\\xe2\\x80\\xa6 https://t.co/qRYQURddvf'",Top 5 Cryptocurrencies y Market Capitalization n Time 2019 11 17 23 00 40 n Bitcoin 8 630 15 0 03 xe2 x80 xa6
