2019-11-17T20:55:16.000Z,"b'$BTC \\xf0\\x9f\\x92\\xb5 price: $8696.67 1.00000BTC \\n1h: +0.80% \\xf0\\x9f\\x93\\x88 \\n1d: +1.88% \\xf0\\x9f\\x93\\x88 \\n7d: -3.69% \\xf0\\x9f\\x94\\xbb \\n\\xf0\\x9f\\x91\\xbe #Bitcoin 24h volume: $18,629,603,587'",BTC xf0 x9f x92 x5 price 8696 67 1 00000BTC n1h 0 80 xf0 x9f x93 x88 n1d 1 88 xf0 x9f x93 x88 n7d 3 69 xf0 x9f x94 x n xf0 x9f x91 xe Bitcoin 24h volume 18 629 603 587
2019-11-17T20:55:30.000Z,"b'..more than half of the Huobi\\xe2\\x80\\x99s Exchange traffic comes from China\\n\\nHowever, given that Twitter is banned in China,\\xe2\\x80\\xa6 https://t.co/JtvrqWCn9a'",more than half of the Huoi xe2 x80 x99s Exchange traffic comes from China n nHowever given that Twitter is anned in China xe2 x80 xa6
2019-11-17T20:55:52.000Z,"b'BITCOIN IS UNSTOPPABLE, SENDING MESSAGE TO THE BANKS\\n\\n#bank #bitcoin\\n\\nhttps://t.co/b2R07KA6kO https://t.co/gwxDLqJZ3L'",BITCOIN IS UNSTOPPABLE SENDING MESSAGE TO THE BANKS n n ank itcoin n nhttps
2019-11-17T20:55:54.000Z,"\"b'\"\"Hello",Hello
2019-11-17T20:56:12.000Z,"\"b\"\"If $BTC does what it did last week",If BTC does what it did last week
2019-11-17T20:58:18.000Z,b'@Aleks_Team Free 300 GH Cloud Mining at Gominer Instant Witdraw https://t.co/9AkZjos16L #gominer #hashflare #genesismining #bitcoin',Free 300 GH Cloud Mining at Gominer Instant Witdraw gominer hashflare genesismining itcoin
2019-11-17T20:58:20.000Z,b'Welcome Barry! to my Cute Fleet flash earnings! #mergecats #cryptosoul #cryptogaming #cryptogamers #crypto\xe2\x80\xa6 https://t.co/1u3VaqOx1E',Welcome Barry to my Cute Fleet flash earnings mergecats cryptosoul cryptogaming cryptogamers crypto xe2 x80 xa6
2019-11-17T20:58:58.000Z,b'Last one for tonight. $btc scam wick detected and deterred. Kitsune bias still short. A lot of shorts where stopped\xe2\x80\xa6 https://t.co/Z3zEk3bOq9',Last one for tonight tc scam wick detected and deterred Kitsune ias still short A lot of shorts where stopped xe2 x80 xa6
2019-11-17T20:59:01.000Z,"b'$BTC current price is 930678.0 JPY. Our AI forecasts the rise of Bitcoin price after one hour. And, the current acc\\xe2\\x80\\xa6 https://t.co/Dlb8nkk02U'",BTC current price is 930678 0 JPY Our AI forecasts the rise of Bitcoin price after one hour And the current acc xe2 x80 xa6
2019-11-17T20:59:02.000Z,"b'$BTC current price is 931715.0 JPY. Our AI forecasts the rise of Bitcoin price after one hour. And, the current acc\\xe2\\x80\\xa6 https://t.co/eip6iV0IQg'",BTC current price is 931715 0 JPY Our AI forecasts the rise of Bitcoin price after one hour And the current acc xe2 x80 xa6
2019-11-17T20:59:04.000Z,"b'\\xf0\\x9f\\x94\\xbd \\xe2\\x82\\xbf1 = $8,530 (20:59 UTC)\\n$BTC prices fall!\\n#Bitcoin $btcusd #btcusd #btc https://t.co/aXwzDlqW2p'",xf0 x9f x94 xd xe2 x82 xf1 8 530 20 59 UTC n BTC prices fall n Bitcoin tcusd tcusd tc
