2019-11-17T21:40:45.000Z,b'#crypto mkt cap last hour\n\n\xf0\x9f\x9a\x80\n$XRP +10.069m\n$MKR +6.779m\n$BAT +5.996m\n\n\xf0\x9f\x8c\xa7\xef\xb8\x8f\n$BTC -574.849m\n$ETH -49.851m\n$BCH -9.805m\n\n#bitcoin #cryptocurrency',crypto mkt cap last hour n n xf0 x9f x9a x80 n XRP 10 069m n MKR 6 779m n BAT 5 996m n n xf0 x9f x8c xa7 xef x8 x8f n BTC 574 849m n ETH 49 851m n BCH 9 805m n n itcoin cryptocurrency
2019-11-17T21:40:56.000Z,b'#THETABTC 4H - TradingView #Theta #Bitcoin #BTC #CryptoCurrency #Altcoin #Binance #Upbit #Huobi #Hotbit #Okex\xe2\x80\xa6 https://t.co/o0mhgy0ttM',THETABTC 4H TradingView Theta Bitcoin BTC CryptoCurrency Altcoin Binance Upit Huoi Hotit Okex xe2 x80 xa6
2019-11-17T21:41:02.000Z,b'@cryptorobomafia @Juni0rLancaster Come on #bitcoin!! \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80',Come on itcoin xf0 x9f x9a x80 xf0 x9f x9a x80 xf0 x9f x9a x80
2019-11-17T21:41:26.000Z,b'128xfolio #72 (a crypto investing challenge)\n\n\xf0\x9f\x93\x8a =&gt; https://t.co/5jeKYRLYbA\n\n#bitcoin #crypto #cryptoinvesting\xe2\x80\xa6 https://t.co/jTAV9AhK09',128xfolio 72 a crypto investing challenge n n xf0 x9f x93 x8a gt crypto cryptoinvesting xe2 x80 xa6
2019-11-17T21:41:41.000Z,b'#gramatik #eth #freemusic #crypto #btc #bitcoin #liveforlivemusic #airdrop https://t.co/GRfT9Fccg3',gramatik eth freemusic crypto tc itcoin liveforlivemusic airdrop
2019-11-17T21:42:09.000Z,b'14 TH/s BITCOIN 8 Hours Cloud Mining Contract AntMiner S9 BTC ASIC rental \xc9\x83 https://t.co/TQZLXFmDFb #bitcoin #crypto #antminer #bitmain',14 TH s BITCOIN 8 Hours Cloud Mining Contract AntMiner S9 BTC ASIC rental xc9 x83 itcoin crypto antminer itmain
2019-11-17T21:42:10.000Z,b'Bitmain Antminer S17 Pro 53 TH/s \xe2\x80\x93 With PSU. IN USA *READ DESCRIPTION* https://t.co/DMOfiqtngy #bitcoin #crypto #antminer #bitmain',Bitmain Antminer S17 Pro 53 TH s xe2 x80 x93 With PSU IN USA READ DESCRIPTION itcoin crypto antminer itmain
2019-11-17T21:42:10.000Z,b'14 TH/s BITCOIN \xc9\x83 6 Hours Cloud Mining Contract \xe2\x80\x93 AntMiner S9 BTC ASIC rental https://t.co/JLkRaeG4S2 #bitcoin #crypto #antminer #bitmain',14 TH s BITCOIN xc9 x83 6 Hours Cloud Mining Contract xe2 x80 x93 AntMiner S9 BTC ASIC rental itcoin crypto antminer itmain
2019-11-17T21:42:10.000Z,"b'Bitmain Antminer S9 hashboard, fully functional https://t.co/AGH3bRWCKO #bitcoin #crypto #antminer #bitmain'",Bitmain Antminer S9 hashoard fully functional itcoin crypto antminer itmain
2019-11-17T21:42:10.000Z,b'BRAND NEW Antminer S9 13.5+TH/s with APW3 Included * Tested working * Ohio USA https://t.co/2QNtdqex2X #bitcoin #crypto #antminer #bitmain',BRAND NEW Antminer S9 13 5 TH s with APW3 Included Tested working Ohio USA itcoin crypto antminer itmain
2019-11-17T21:42:24.000Z,b'@OmarTamo19 Use #Bitcoin this whole inflationary Fiat-ception bullshit gives me a headache.',Use Bitcoin this whole inflationary Fiat ception ullshit gives me a headache
2019-11-17T21:42:28.000Z,"b'#Bitcoin Binance 4h BTCUSDT:8547.11 RSI(46.72) StochRSI(98.80,90.00) macd(-45.68,-63.94) sma21:8526.52 sma50:8679.2\\xe2\\x80\\xa6 https://t.co/PGJ0Vkv9wF'",Bitcoin Binance 4h BTCUSDT 8547 11 RSI 46 72 StochRSI 98 80 90 00 macd 45 68 63 94 sma21 8526 52 sma50 8679 2 xe2 x80 xa6
2019-11-17T21:42:31.000Z,b'@satoshi_babe Or just trade #bitcoin ....',Or just trade itcoin
2019-11-17T21:42:37.000Z,b'My bankroll is slowly building on #Betcoin \n\nMy goal is to reach 100 chips by betting on sports.\n\nMost bets I place\xe2\x80\xa6 https://t.co/nzLPldB04R',My ankroll is slowly uilding on Betcoin n nMy goal is to reach 100 chips y etting on sports n nMost ets I place xe2 x80 xa6
2019-11-17T21:43:03.000Z,"b'BlockShow Asia, #Bitcoin Crash Warning, India Delays Crypto Ban: Hodler\\xe2\\x80\\x99s Digest, Nov. 11\\xe2\\x80\\x9317 (Cointelegraph) \\n\\nIn t\\xe2\\x80\\xa6 https://t.co/XXyL97xzcN'",BlockShow Asia Bitcoin Crash Warning India Delays Crypto Ban Hodler xe2 x80 x99s Digest Nov 11 xe2 x80 x9317 Cointelegraph n nIn t xe2 x80 xa6
2019-11-17T21:43:12.000Z,b'#Juez #Federal de EE.UU. #falla a #favor de #Bitcoin #IRA en el #caso #contra #Kingdom\xe2\x80\xa6 https://t.co/G2BaiFRyLi',Juez Federal de EE UU falla a favor de Bitcoin IRA en el caso contra Kingdom xe2 x80 xa6
2019-11-17T21:43:13.000Z,b'Shut up and buy 1 #Bitcoin!',Shut up and uy 1 Bitcoin
2019-11-17T21:43:20.000Z,"\"b'Almost 200 developers are currently reviewing \"\"#Bitcoin Improvement Proposals\"\" (BIPs) around Taproot and\\xc2\\xa0Schnorr",Almost 200 developers are currently reviewing Bitcoin Improvement Proposals BIPs around Taproot and xc2 xa0Schnorr
2019-11-17T21:43:40.000Z,"b'We must pay attention, this will undoubtedly be the news to follow during the week #Bitcoin https://t.co/t19g7GzJT5'",We must pay attention this will undoutedly e the news to follow during the week Bitcoin
2019-11-17T21:44:01.000Z,"b'This week in #crypto:\\nCanada\\xe2\\x80\\x99s largest bank is looking to embrace #Bitcoin, China\\xe2\\x80\\x99s foremost news outlet mentioned\\xe2\\x80\\xa6 https://t.co/R2tCVhHnLr'",This week in crypto nCanada xe2 x80 x99s largest ank is looking to emrace Bitcoin China xe2 x80 x99s foremost news outlet mentioned xe2 x80 xa6
2019-11-17T21:44:16.000Z,b'#bitcoin\n\nPrice barely visited this lower support zone before being bought up quickly and seeing a nice bounce\n\n$8.\xe2\x80\xa6 https://t.co/bPD8cY8ToC',itcoin n nPrice arely visited this lower support zone efore eing ought up quickly and seeing a nice ounce n n 8 xe2 x80 xa6
2019-11-17T21:44:32.000Z,b'An Army of #Bitcoin Devs Is Battle-Testing Upgrades to Privacy and Scaling https://t.co/S5tFFJQgVe',An Army of Bitcoin Devs Is Battle Testing Upgrades to Privacy and Scaling
2019-11-17T21:44:36.000Z,"b'@GuntherSchnabl Er sagt auch das der Libanon zu Bitcoin wechseln soll, Nassim ist ein Bitcoiner.\\n\\nJoin the Revoluti\\xe2\\x80\\xa6 https://t.co/wDWAnQpT5G'",Er sagt auch das der Lianon zu Bitcoin wechseln soll Nassim ist ein Bitcoiner n nJoin the Revoluti xe2 x80 xa6
2019-11-17T21:45:00.000Z,b'This trade needs some patience but \xc4\xb1 believe we ll eventually get that target.\n\xe2\x8c\x9b\xef\xb8\x8f\xf0\x9f\x99\x8f\xe2\x8c\x9b\xef\xb8\x8f\xf0\x9f\x99\x8f\nif you like that content plea\xe2\x80\xa6 https://t.co/ZOyf4wWI78',This trade needs some patience ut xc4 x1 elieve we ll eventually get that target n xe2 x8c x9 xef x8 x8f xf0 x9f x99 x8f xe2 x8c x9 xef x8 x8f xf0 x9f x99 x8f nif you like that content plea xe2 x80 xa6
