2019-11-17T21:48:32.000Z,b'\xf0\x9f\x94\x84 Prices update in $EUR (1 hour):\n\n$BTC   - 7747.7 \xe2\x82\xac  (+0.1 %) \n$ETH   - 167.63 \xe2\x82\xac  (+0.31 %)\n$XRP   - 0.24 \xe2\x82\xac    (+0\xe2\x80\xa6 https://t.co/NoU0Eu7uDB',xf0 x9f x94 x84 Prices update in EUR 1 hour n n BTC 7747 7 xe2 x82 xac 0 1 n ETH 167 63 xe2 x82 xac 0 31 n XRP 0 24 xe2 x82 xac 0 xe2 x80 xa6
2019-11-17T21:48:43.000Z,b'\xf0\x9f\x94\x84 Prices update in $USDT (1 hour):\n\n$BTC - 8557.04 $ (+0.04 %)\n$ETH - 184.99 $  (+0.19 %)\n$XRP - 0.26 $    (+0.04 %\xe2\x80\xa6 https://t.co/3Y6vgz5eH2',xf0 x9f x94 x84 Prices update in USDT 1 hour n n BTC 8557 04 0 04 n ETH 184 99 0 19 n XRP 0 26 0 04 xe2 x80 xa6
2019-11-17T21:48:55.000Z,"b'Touch down in Paris , Thank you Lord for a safe flight #paris #business #forex #bitcoin #trader https://t.co/q5igWbOBzs'",Touch down in Paris Thank you Lord for a safe flight paris usiness forex itcoin trader
2019-11-17T21:49:14.000Z,"b'\\xe2\\x8f\\xb0 00:49:13 #Piyasa #D\\xc3\\xb6viz\\n\\xe2\\x96\\xb2 USD: 5,7450 \\xe2\\x82\\xba\\n\\xe2\\x96\\xb2 EUR: 6,3483 \\xe2\\x82\\xba\\n\\xe2\\x96\\xb2 GBP: 7,4242 \\xe2\\x82\\xba\\n\\xe2\\x96\\xbc EUR/USD: 1,1050 $\\n\\xe2\\x96\\xbc Bitcoin: 8.586,6 $\\xe2\\x80\\xa6 https://t.co/O9rLJhODj7'",xe2 x8f x0 00 49 13 Piyasa D xc3 x6viz n xe2 x96 x2 USD 5 7450 xe2 x82 xa n xe2 x96 x2 EUR 6 3483 xe2 x82 xa n xe2 x96 x2 GBP 7 4242 xe2 x82 xa n xe2 x96 xc EUR USD 1 1050 n xe2 x96 xc Bitcoin 8 586 6 xe2 x80 xa6
2019-11-17T21:49:37.000Z,"b'Day ending in ~2 hours. At 1H $BTC got rejected from 8600, but there is RSI bullish divergence. At day chart still\\xe2\\x80\\xa6 https://t.co/9I9JYfrHTP'",Day ending in 2 hours At 1H BTC got rejected from 8600 ut there is RSI ullish divergence At day chart still xe2 x80 xa6
2019-11-17T21:49:48.000Z,b'Will Bitcoin be many times more valuable by the end of the decade? Will it be replaced by cryptocurrencies with mor\xe2\x80\xa6 https://t.co/z04tMgNe32',Will Bitcoin e many times more valuale y the end of the decade Will it e replaced y cryptocurrencies with mor xe2 x80 xa6
2019-11-17T21:49:50.000Z,b'#akbnk #bmkototrend G \n#usdtry #eurtry #XU100 #btc #btcusd #bitcoin #crypto #bist30 #bist100 #viop30 #varant\xe2\x80\xa6 https://t.co/pS8798IZJs',aknk mkototrend G n usdtry eurtry XU100 tc tcusd itcoin crypto ist30 ist100 viop30 varant xe2 x80 xa6
2019-11-17T21:49:51.000Z,b'@OlafGersemann @welt @nntaleb @GuntherSchnabl Er hat auch gesagt die Bev\xc3\xb6lkerung soll sich #bitcoin zuwenden!\n\nFIAT\xe2\x80\xa6 https://t.co/jfLY6rec1z',Er hat auch gesagt die Bev xc3 x6lkerung soll sich itcoin zuwenden n nFIAT xe2 x80 xa6
2019-11-17T21:49:57.000Z,b'Banning #Bitcoin is a double edged sword...\n\nBan it: You implicitly signal your decreed currency is inferior.\n\nAllo\xe2\x80\xa6 https://t.co/IQ2lkpV2dP',Banning Bitcoin is a doule edged sword n nBan it You implicitly signal your decreed currency is inferior n nAllo xe2 x80 xa6
2019-11-17T21:50:04.000Z,b'\xf0\x9f\x94\x84 Prices update in $USD (1 hour):\n\n$BTC - 8557.0 $  (+0.12 %)\n$ETH - 185.11 $  (+0.35 %)\n$XRP - 0.26 $    (+0.25 %)\xe2\x80\xa6 https://t.co/4d5fGWiu5f',xf0 x9f x94 x84 Prices update in USD 1 hour n n BTC 8557 0 0 12 n ETH 185 11 0 35 n XRP 0 26 0 25 xe2 x80 xa6
2019-11-17T21:50:20.000Z,b'#usak #akbnk #bmkototrend G \n#usdtry #eurtry #XU100 #btc #btcusd #bitcoin #crypto #bist30 #bist100 #viop30 #varant\xe2\x80\xa6 https://t.co/YQWNc3sSRK',usak aknk mkototrend G n usdtry eurtry XU100 tc tcusd itcoin crypto ist30 ist100 viop30 varant xe2 x80 xa6
2019-11-17T21:51:06.000Z,b'#utpya  #bmkototrend G \n#usdtry #eurtry #XU100 #btc #btcusd #bitcoin #crypto #bist30 #bist100 #viop30 #varant\xe2\x80\xa6 https://t.co/abF9lUyrCH',utpya mkototrend G n usdtry eurtry XU100 tc tcusd itcoin crypto ist30 ist100 viop30 varant xe2 x80 xa6
