2019-11-17T23:08:46.000Z,"b'@CNBC Billionaires worldwide, listen to me.  #bitcoin is your answer lol'",Billionaires worldwide listen to me itcoin is your answer lol
2019-11-17T23:09:07.000Z,b'\xe2\x82\xbf \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbe The Federal Reserve Says Stablecoins Could Wreck Global Finance l bitcoin: https://t.co/HRkv4QVf9f\n\n#bitcoin\xe2\x80\xa6 https://t.co/gBIcK3X5pp',xe2 x82 xf xf0 x9f x91 x8d xf0 x9f x8f xe The Federal Reserve Says Stalecoins Could Wreck Gloal Finance l itcoin
2019-11-17T23:09:33.000Z,b'SUMMER SALE NOWON\nSelling TCC account\nFor sale:10bit\nIf you are interested\nPlease contact or DM me\n#bitcoin\n#bitregion\n#Ethereum\n#DM',SUMMER SALE NOWON nSelling TCC account nFor sale 10it nIf you are interested nPlease contact or DM me n itcoin n itregion n Ethereum n DM
2019-11-17T23:09:33.000Z,b'#17Nov 18:09 Precio del #Bitcoin:\nBitcoin COP: 27631821.78\nBitcoin USD: 9074.44\nTasa Cambio BTC: 3045.02\nFuente:\xe2\x80\xa6 https://t.co/5XikUECEoG',17Nov 18 09 Precio del Bitcoin nBitcoin COP 27631821 78 nBitcoin USD 9074 44 nTasa Camio BTC 3045 02 nFuente xe2 x80 xa6
2019-11-17T23:09:49.000Z,b'4H for $btc #bitcoin is looking awful.......1 hour left to recover.........needs to claim 8600 or so by daily and 4\xe2\x80\xa6 https://t.co/ck4Cl6z4kl',4H for tc itcoin is looking awful 1 hour left to recover needs to claim 8600 or so y daily and 4 xe2 x80 xa6
2019-11-17T23:10:02.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-18 02:10:02\\n#Bitcoin: $8,678.092\\n#Ethereum: $186.602\\n#XRP: $0.268\\xe2\\x80\\xa6 https://t.co/HupRnRuH9B'",Top 5 cryptocurrencies n Alert Time 2019 11 18 02 10 02 n Bitcoin 8 678 092 n Ethereum 186 602 n XRP 0 268 xe2 x80 xa6
2019-11-17T23:10:06.000Z,"b'Bitcoin BTC Current Price:\\n$8,681.51\\n1 Hour: -0.09 % | 24 Hours: 1.59 % | 7 Days: -4.15 %\\n#btc #bitcoin'",Bitcoin BTC Current Price n 8 681 51 n1 Hour 0 09 24 Hours 1 59 7 Days 4 15 n tc itcoin
2019-11-17T23:10:06.000Z,"b'#Bitcoin &amp; all major #Altcoins have recovered from the recent losses. However, the majority of coins are still in t\\xe2\\x80\\xa6 https://t.co/O9cZkfS1dZ'",Bitcoin amp all major Altcoins have recovered from the recent losses However the majority of coins are still in t xe2 x80 xa6
2019-11-17T23:10:10.000Z,b'1 BTC Price: Bitstamp 8534.42 USD Coinbase  USD #btc #bitcoin 2019-11-17 18:10 https://t.co/7FAIv8Emcl',1 BTC Price Bitstamp 8534 42 USD Coinase USD tc itcoin 2019 11 17 18 10
2019-11-17T23:10:18.000Z,"b'\\xf0\\x9f\\x93\\xa2#OceanEx\\nA new TOP public chain will be list on OceanEx exchange ?\\nLet us wailt for it, i think it will have somth\\xe2\\x80\\xa6 https://t.co/30EVQgEK1h'",xf0 x9f x93 xa2 OceanEx nA new TOP pulic chain will e list on OceanEx exchange nLet us wailt for it i think it will have somth xe2 x80 xa6
2019-11-17T23:11:02.000Z,b'El precio del bitcoin es de US$ 8530.35. #bitcoin #btc',El precio del itcoin es de US 8530 35 itcoin tc
2019-11-17T23:11:33.000Z,"b'Perhaps Google Will Kill #Bitcoin, After All https://t.co/lixa4ZTk0H'",Perhaps Google Will Kill Bitcoin After All
2019-11-17T23:11:36.000Z,b'Im just gonna leave this here.\n#xvg #vergecurrency #verge $xvg @vergecurrency #btc $btc #bitcoin #cryptocurrency\xe2\x80\xa6 https://t.co/TJjcOtDTIb',Im just gonna leave this here n xvg vergecurrency verge xvg tc tc itcoin cryptocurrency xe2 x80 xa6
